product_id,category_id
P0000001,CAT0001
P0000001,CAT0021
P0000002,CAT0001
P0000002,CAT0021
P0000003,CAT0001
P0000003,CAT0021
P0000004,CAT0001
P0000004,CAT0021
P0000005,CAT0001
P0000005,CAT0021
P0000006,CAT0001
P0000006,CAT0021
P0000007,CAT0001
P0000007,CAT0021
P0000008,CAT0001
P0000008,CAT0021
P0000009,CAT0001
P0000009,CAT0021
P0000010,CAT0001
P0000010,CAT0021
P0000011,CAT0001
P0000011,CAT0021
P0000012,CAT0001
P0000012,CAT0021
P0000013,CAT0001
P0000013,CAT0021
P0000014,CAT0001
P0000014,CAT0021
P0000015,CAT0001
P0000015,CAT0021
P0000016,CAT0001
P0000016,CAT0021
P0000017,CAT0001
P0000017,CAT0021
P0000018,CAT0001
P0000018,CAT0021
P0000019,CAT0001
P0000019,CAT0021
P0000020,CAT0001
P0000020,CAT0021
P0000021,CAT0001
P0000021,CAT0021
P0000022,CAT0001
P0000022,CAT0021
P0000023,CAT0001
P0000023,CAT0021
P0000024,CAT0001
P0000024,CAT0021
P0000025,CAT0001
P0000025,CAT0021
P0000026,CAT0001
P0000026,CAT0021
P0000027,CAT0001
P0000027,CAT0021
P0000028,CAT0001
P0000028,CAT0021
P0000029,CAT0001
P0000029,CAT0021
P0000030,CAT0001
P0000030,CAT0021
P0000031,CAT0001
P0000031,CAT0021
P0000032,CAT0001
P0000032,CAT0021
P0000033,CAT0001
P0000033,CAT0021
P0000034,CAT0001
P0000034,CAT0021
P0000035,CAT0001
P0000035,CAT0021
P0000036,CAT0001
P0000036,CAT0021
P0000037,CAT0001
P0000037,CAT0021
P0000038,CAT0001
P0000038,CAT0021
P0000039,CAT0001
P0000039,CAT0021
P0000040,CAT0001
P0000040,CAT0021
P0000041,CAT0001
P0000041,CAT0021
P0000043,CAT0001
P0000043,CAT0021
P0000044,CAT0001
P0000044,CAT0021
P0000045,CAT0001
P0000045,CAT0021
P0000046,CAT0001
P0000046,CAT0021
P0000047,CAT0001
P0000047,CAT0021
P0000048,CAT0001
P0000048,CAT0021
P0000049,CAT0001
P0000049,CAT0021
P0000050,CAT0001
P0000050,CAT0021
P0000051,CAT0001
P0000051,CAT0021
P0000052,CAT0001
P0000052,CAT0021
P0000054,CAT0001
P0000054,CAT0021
P0000055,CAT0001
P0000055,CAT0021
P0000056,CAT0001
P0000056,CAT0021
P0000057,CAT0001
P0000057,CAT0021
P0000058,CAT0001
P0000058,CAT0021
P0000059,CAT0001
P0000059,CAT0021
P0000060,CAT0001
P0000060,CAT0021
P0000061,CAT0001
P0000061,CAT0021
P0000063,CAT0001
P0000063,CAT0021
P0000064,CAT0001
P0000064,CAT0021
P0000065,CAT0001
P0000065,CAT0021
P0000066,CAT0001
P0000066,CAT0021
P0000067,CAT0001
P0000067,CAT0021
P0000068,CAT0001
P0000068,CAT0021
P0000069,CAT0001
P0000069,CAT0021
P0000070,CAT0001
P0000070,CAT0021
P0000071,CAT0001
P0000071,CAT0021
P0000072,CAT0001
P0000072,CAT0021
P0000073,CAT0001
P0000073,CAT0021
P0000074,CAT0001
P0000074,CAT0021
P0000075,CAT0001
P0000075,CAT0021
P0000076,CAT0001
P0000076,CAT0021
P0000077,CAT0001
P0000077,CAT0021
P0000078,CAT0001
P0000078,CAT0021
P0000080,CAT0001
P0000080,CAT0021
P0000082,CAT0001
P0000082,CAT0021
P0000083,CAT0001
P0000083,CAT0021
P0000084,CAT0001
P0000084,CAT0021
P0000086,CAT0001
P0000086,CAT0021
P0000088,CAT0001
P0000088,CAT0021
P0000090,CAT0001
P0000090,CAT0021
P0000091,CAT0001
P0000091,CAT0021
P0000092,CAT0001
P0000092,CAT0021
P0000093,CAT0001
P0000093,CAT0021
P0000094,CAT0001
P0000094,CAT0021
P0000095,CAT0001
P0000095,CAT0021
P0000096,CAT0001
P0000096,CAT0021
P0000097,CAT0001
P0000097,CAT0021
P0000098,CAT0001
P0000098,CAT0021
P0000099,CAT0001
P0000099,CAT0021
P0000100,CAT0001
P0000100,CAT0021
P0000101,CAT0001
P0000101,CAT0021
P0000102,CAT0001
P0000102,CAT0021
P0000103,CAT0001
P0000103,CAT0021
P0000106,CAT0001
P0000106,CAT0021
P0000107,CAT0001
P0000107,CAT0021
P0000108,CAT0001
P0000108,CAT0021
P0000109,CAT0001
P0000109,CAT0021
P0000110,CAT0001
P0000110,CAT0021
P0000111,CAT0001
P0000111,CAT0021
P0000112,CAT0001
P0000112,CAT0021
P0000114,CAT0001
P0000114,CAT0021
P0000115,CAT0001
P0000115,CAT0021
P0000116,CAT0001
P0000116,CAT0021
P0000117,CAT0001
P0000117,CAT0021
P0000119,CAT0001
P0000119,CAT0021
P0000120,CAT0001
P0000120,CAT0021
P0000121,CAT0001
P0000121,CAT0021
P0000123,CAT0001
P0000123,CAT0021
P0000124,CAT0001
P0000124,CAT0021
P0000125,CAT0001
P0000125,CAT0021
P0000126,CAT0001
P0000126,CAT0021
P0000127,CAT0001
P0000127,CAT0021
P0000128,CAT0001
P0000128,CAT0021
P0000129,CAT0001
P0000129,CAT0021
P0000131,CAT0001
P0000131,CAT0021
P0000132,CAT0001
P0000132,CAT0021
P0000136,CAT0001
P0000136,CAT0021
P0000137,CAT0001
P0000137,CAT0021
P0000140,CAT0001
P0000140,CAT0021
P0000142,CAT0001
P0000142,CAT0021
P0000143,CAT0001
P0000143,CAT0021
P0000144,CAT0001
P0000144,CAT0021
P0000146,CAT0001
P0000146,CAT0021
P0000147,CAT0001
P0000147,CAT0021
P0000148,CAT0001
P0000148,CAT0021
P0000149,CAT0001
P0000149,CAT0021
P0000150,CAT0001
P0000150,CAT0021
P0000151,CAT0001
P0000151,CAT0021
P0000152,CAT0001
P0000152,CAT0021
P0000153,CAT0001
P0000153,CAT0021
P0000158,CAT0001
P0000158,CAT0021
P0000160,CAT0001
P0000160,CAT0021
P0000161,CAT0001
P0000161,CAT0021
P0000162,CAT0001
P0000162,CAT0021
P0000164,CAT0001
P0000164,CAT0021
P0000167,CAT0001
P0000167,CAT0021
P0000168,CAT0001
P0000168,CAT0021
P0000171,CAT0001
P0000171,CAT0021
P0000173,CAT0001
P0000173,CAT0021
P0000174,CAT0001
P0000174,CAT0021
P0000175,CAT0001
P0000175,CAT0021
P0000179,CAT0001
P0000179,CAT0021
P0000181,CAT0001
P0000181,CAT0021
P0000182,CAT0001
