inventory_id,product_id,quantity,last_update
INV0000001,P0000001,39,2024-04-02 00:00:00
INV0000002,P0000002,4463,2024-05-21 00:00:00
INV0000003,P0000003,24,2024-04-10 00:00:00
INV0000004,P0000004,0,2024-05-26 00:00:00
INV0000005,P0000005,18,2024-04-03 00:00:00
INV0000006,P0000006,113,2024-05-23 00:00:00
INV0000007,P0000007,143,2024-05-26 00:00:00
INV0000008,P0000008,406,2024-04-07 00:00:00
INV0000009,P0000009,4925,2024-04-08 00:00:00
INV0000010,P0000010,8,2024-04-11 00:00:00
INV0000011,P0000011,491,2024-04-07 00:00:00
INV0000012,P0000012,6,2024-05-24 00:00:00
INV0000013,P0000013,40,2024-04-06 00:00:00
INV0000014,P0000014,11,2024-04-09 00:00:00
INV0000015,P0000015,488,2024-05-18 00:00:00
INV0000016,P0000016,0,2024-05-25 00:00:00
INV0000017,P0000017,197,2024-04-08 00:00:00
INV0000018,P0000018,260,2024-05-16 00:00:00
INV0000019,P0000019,23,2024-04-07 00:00:00
INV0000020,P0000020,150,2024-04-01 00:00:00
INV0000021,P0000021,262,2024-04-09 00:00:00
INV0000022,P0000022,372,2024-04-01 00:00:00
INV0000023,P0000023,2180,2024-04-02 00:00:00
INV0000024,P0000024,76,2024-04-07 00:00:00
INV0000025,P0000025,251,2024-04-10 00:00:00
INV0000026,P0000026,172,2024-04-06 00:00:00
INV0000027,P0000027,15,2024-04-01 00:00:00
INV0000028,P0000028,4281,2024-04-07 00:00:00
INV0000029,P0000029,419,2024-05-21 00:00:00
INV0000030,P0000030,26,2024-04-09 00:00:00
INV0000031,P0000031,73,2024-04-06 00:00:00
INV0000032,P0000032,16,2024-04-06 00:00:00
INV0000033,P0000033,16,2024-04-08 00:00:00
INV0000034,P0000034,13,2024-04-02 00:00:00
INV0000035,P0000035,37,2024-04-01 00:00:00
INV0000036,P0000036,16,2024-04-04 00:00:00
INV0000037,P0000037,368,2024-05-20 00:00:00
INV0000038,P0000038,41,2024-04-11 00:00:00
INV0000039,P0000039,126,2024-05-22 00:00:00
INV0000040,P0000040,96,2024-05-19 00:00:00
INV0000041,P0000041,42,2024-05-20 00:00:00
INV0000043,P0000043,48,2024-04-08 00:00:00
INV0000044,P0000044,310,2024-04-08 00:00:00
INV0000045,P0000045,19,2024-04-05 00:00:00
INV0000046,P0000046,25,2024-04-10 00:00:00
INV0000047,P0000047,3489,2024-04-01 00:00:00
INV0000048,P0000048,122,2024-04-02 00:00:00
INV0000049,P0000049,314,2024-05-07 17:08:22
INV0000050,P0000050,0,2024-05-22 00:00:00
INV0000051,P0000051,11,2024-04-08 00:00:00
INV0000052,P0000052,216,2024-04-07 00:00:00
INV0000054,P0000054,0,2024-05-25 00:00:00
INV0000055,P0000055,2264,2024-04-10 00:00:00
INV0000056,P0000056,260,2024-04-08 00:00:00
INV0000057,P0000057,25,2024-05-17 00:00:00
INV0000058,P0000058,572,2024-04-08 00:00:00
INV0000059,P0000059,3843,2024-04-02 00:00:00
INV0000060,P0000060,415,2024-04-02 00:00:00
INV0000061,P0000061,25,2024-04-01 00:00:00
INV0000063,P0000063,2278,2024-05-23 00:00:00
INV0000064,P0000064,630,2024-04-10 00:00:00
INV0000065,P0000065,14,2024-04-07 00:00:00
INV0000066,P0000066,20,2024-04-03 00:00:00
INV0000067,P0000067,2613,2024-04-10 00:00:00
INV0000068,P0000068,123,2024-04-08 00:00:00
INV0000069,P0000069,36,2024-04-05 00:00:00
INV0000070,P0000070,3,2024-04-07 00:00:00
INV0000071,P0000071,325,2024-04-06 00:00:00
INV0000072,P0000072,32,2024-04-07 00:00:00
INV0000073,P0000073,33,2024-04-02 00:00:00
INV0000074,P0000074,150,2024-04-30 04:32:19
INV0000075,P0000075,27,2024-05-25 00:00:00
INV0000076,P0000076,0,2024-05-24 00:00:00
INV0000077,P0000077,8,2024-04-06 00:00:00
INV0000078,P0000078,44,2024-05-22 00:00:00
INV0000080,P0000080,351,2024-04-09 00:00:00
INV0000082,P0000082,15,2024-04-07 00:00:00
INV0000083,P0000083,33,2024-05-16 00:00:00
INV0000084,P0000084,422,2024-04-04 00:00:00
INV0000086,P0000086,275,2024-04-04 00:00:00
INV0000088,P0000088,17,2024-04-05 00:00:00
INV0000090,P0000090,416,2024-04-11 00:00:00
INV0000091,P0000091,2825,2024-04-04 00:00:00
INV0000092,P0000092,301,2024-04-09 00:00:00
INV0000093,P0000093,18,2024-04-08 00:00:00
INV0000094,P0000094,213,2024-05-17 00:00:00
INV0000095,P0000095,4348,2024-04-01 00:00:00
INV0000096,P0000096,449,2024-04-08 00:00:00
INV0000097,P0000097,393,2024-05-17 00:00:00
INV0000098,P0000098,0,2024-05-22 00:00:00
INV0000099,P0000099,168,2024-04-04 00:00:00
INV0000100,P0000100,419,2024-04-07 00:00:00
INV0000101,P0000101,303,2024-04-09 00:00:00
INV0000102,P0000102,2147,2024-04-06 00:00:00
INV0000103,P0000103,208,2024-04-11 00:00:00
INV0000106,P0000106,38,2024-04-01 00:00:00
INV0000107,P0000107,50,2024-04-06 00:00:00
INV0000108,P0000108,159,2024-04-09 00:00:00
INV0000109,P0000109,47,2024-04-10 00:00:00
INV0000110,P0000110,13,2024-04-03 00:00:00
INV0000111,P0000111,264,2024-04-06 00:00:00
INV0000112,P0000112,1691,2024-04-10 00:00:00
INV0000114,P0000114,220,2024-04-01 00:00:00
INV0000115,P0000115,452,2024-04-11 00:00:00
INV0000116,P0000116,11,2024-04-08 00:00:00
INV0000117,P0000117,229,2024-04-06 00:00:00
INV0000119,P0000119,283,2024-04-04 00:00:00
INV0000120,P0000120,154,2024-04-04 00:00:00
INV0000121,P0000121,390,2024-04-04 00:00:00
INV0000123,P0000123,0,2024-05-20 00:00:00
INV0000124,P0000124,313,2024-04-09 00:00:00
INV0000125,P0000125,312,2024-05-22 00:00:00
INV0000126,P0000126,375,2024-04-01 00:00:00
INV0000127,P0000127,20,2024-04-02 00:00:00
INV0000128,P0000128,3,2024-05-22 00:00:00
INV0000129,P0000129,406,2024-05-17 00:00:00
INV0000131,P0000131,27,2024-04-07 00:00:00
INV0000132,P0000132,210,2024-04-02 00:00:00
INV0000136,P0000136,442,2024-04-01 00:00:00
INV0000137,P0000137,1,2024-04-09 00:00:00
INV0000140,P0000140,151,2024-04-10 00:00:00
INV0000142,P0000142,498,2024-05-19 00:00:00
INV0000143,P0000143,35,2024-04-01 00:00:00
INV0000144,P0000144,398,2024-04-01 00:00:00
INV0000146,P0000146,825,2024-04-10 00:00:00
INV0000147,P0000147,139,2024-04-09 00:00:00
INV0000148,P0000148,39,2024-04-01 00:00:00
INV0000149,P0000149,2601,2024-04-04 00:00:00
INV0000150,P0000150,199,2024-04-06 00:00:00
INV0000151,P0000151,191,2024-04-05 00:00:00
INV0000152,P0000152,0,2024-05-24 00:00:00
INV0000153,P0000153,189,2024-04-09 00:00:00
INV0000158,P0000158,26,2024-04-04 00:00:00
INV0000160,P0000160,23,2024-05-15 00:08:21
INV0000161,P0000161,239,2024-04-06 00:00:00
INV0000162,P0000162,3433,2024-04-05 00:00:00
INV0000164,P0000164,461,2024-04-08 00:00:00
INV0000167,P0000167,39,2024-04-10 00:00:00
INV0000168,P0000168,512,2024-04-03 00:00:00
INV0000171,P0000171,1608,2024-04-08 00:00:00
INV0000173,P0000173,1,2024-04-06 00:00:00
INV0000174,P0000174,0,2024-05-21 00:00:00
INV0000175,P0000175,93,2024-04-11 00:00:00
INV0000179,P0000179,355,2024-04-02 00:00:00
INV0000181,P0000181,992,2024-04-04 00:00:00
INV0000182,P0000182,363,2024-05-18 00:00:00
INV0000184,P0000184,24,2024-04-11 00:00:00
INV0000186,P0000186,0,2024-05-18 00:00:00
INV0000187,P0000187,265,2024-04-03 00:00:00
INV0000188,P0000188,80,2024-04-06 00:00:00
INV0000190,P0000190,22,2024-04-11 00:00:00
INV0000191,P0000191,368,2024-04-06 00:00:00
INV0000192,P0000192,1,2024-04-04 00:00:00
INV0000193,P0000193,209,2024-05-17 00:00:00
INV0000194,P0000194,85,2024-04-07 00:00:00
INV0000195,P0000195,368,2024-04-07 00:00:00
INV0000196,P0000196,0,2024-05-24 00:00:00
INV0000197,P0000197,1681,2024-04-04 00:00:00
INV0000198,P0000198,47,2024-04-16 22:10:26
INV0000204,P0000204,98,2024-04-04 00:00:00
INV0000205,P0000205,393,2024-05-21 00:00:00
INV0000207,P0000207,2272,2024-05-24 00:00:00
INV0000208,P0000208,939,2024-04-08 00:00:00
INV0000211,P0000211,42,2024-04-04 00:00:00
INV0000212,P0000212,27,2024-04-09 00:00:00
INV0000213,P0000213,0,2024-05-23 00:00:00
INV0000214,P0000214,48,2024-04-05 00:00:00
INV0000215,P0000215,1,2024-04-02 00:00:00
INV0000216,P0000216,467,2024-04-06 00:00:00
INV0000217,P0000217,32,2024-04-01 00:00:00
INV0000218,P0000218,1,2024-04-06 00:00:00
INV0000219,P0000219,35,2024-04-11 00:00:00
INV0000220,P0000220,4504,2024-04-09 00:00:00
INV0000221,P0000221,4221,2024-04-05 00:00:00
INV0000222,P0000222,397,2024-04-07 00:00:00
INV0000223,P0000223,194,2024-05-17 00:00:00
INV0000224,P0000224,430,2024-04-09 00:00:00
INV0000225,P0000225,162,2024-04-10 00:00:00
INV0000226,P0000226,30,2024-04-05 00:00:00
INV0000228,P0000228,21,2024-04-05 00:00:00
INV0000229,P0000229,378,2024-05-16 00:00:00
INV0000231,P0000231,31,2024-04-11 00:00:00
INV0000232,P0000232,297,2024-04-01 00:00:00
INV0000233,P0000233,370,2024-05-23 00:00:00
INV0000235,P0000235,367,2024-04-08 00:00:00
INV0000236,P0000236,214,2024-04-03 00:00:00
INV0000237,P0000237,7,2024-04-05 00:00:00
INV0000238,P0000238,7,2024-05-19 00:00:00
INV0000243,P0000243,221,2024-04-03 00:00:00
INV0000244,P0000244,76,2024-04-03 00:00:00
INV0000245,P0000245,92,2024-04-06 00:00:00
INV0000247,P0000247,294,2024-04-08 00:00:00
INV0000251,P0000251,13,2024-05-17 00:00:00
INV0000252,P0000252,28,2024-04-05 00:00:00
INV0000254,P0000254,301,2024-05-17 00:00:00
INV0000255,P0000255,469,2024-05-23 00:00:00
INV0000259,P0000259,13,2024-05-23 00:00:00
INV0000261,P0000261,1809,2024-04-09 00:00:00
INV0000262,P0000262,2438,2024-04-10 00:00:00
INV0000264,P0000264,199,2024-04-06 00:00:00
INV0000272,P0000272,137,2024-04-06 00:00:00
INV0000275,P0000275,9,2024-05-16 00:00:00
INV0000276,P0000276,20,2024-05-20 00:00:00
INV0000277,P0000277,21,2024-04-08 00:00:00
INV0000280,P0000280,4426,2024-05-06 16:12:51
INV0000282,P0000282,64,2024-04-08 00:00:00
INV0000284,P0000284,21,2024-04-01 00:00:00
INV0000285,P0000285,8,2024-04-06 00:00:00
INV0000288,P0000288,407,2024-04-07 00:00:00
INV0000291,P0000291,50,2024-04-03 00:00:00
INV0000292,P0000292,103,2024-04-08 00:00:00
INV0000294,P0000294,472,2024-05-18 00:00:00
INV0000296,P0000296,35,2024-05-16 00:00:00
INV0000298,P0000298,111,2024-04-04 00:00:00
INV0000299,P0000299,441,2024-04-03 00:00:00
INV0000300,P0000300,313,2024-04-04 00:00:00
INV0000301,P0000301,40,2024-05-18 00:00:00
INV0000302,P0000302,46,2024-04-07 00:00:00
INV0000307,P0000307,8,2024-04-06 00:00:00
INV0000308,P0000308,357,2024-04-07 00:00:00
INV0000309,P0000309,2050,2024-04-02 00:00:00
INV0000310,P0000310,414,2024-04-07 00:00:00
INV0000311,P0000311,4845,2024-05-17 00:00:00
INV0000312,P0000312,126,2024-05-17 00:00:00
INV0000314,P0000314,321,2024-05-18 00:00:00
INV0000315,P0000315,177,2024-04-10 00:00:00
INV0000316,P0000316,348,2024-05-21 00:00:00
INV0000319,P0000319,376,2024-04-10 00:00:00
INV0000325,P0000325,462,2024-04-08 00:00:00
INV0000326,P0000326,9,2024-04-03 00:00:00
INV0000328,P0000328,365,2024-04-06 00:00:00
INV0000329,P0000329,373,2024-04-09 00:00:00
INV0000330,P0000330,15,2024-04-01 00:00:00
INV0000331,P0000331,3673,2024-04-01 00:00:00
INV0000333,P0000333,0,2024-05-18 00:00:00
INV0000334,P0000334,78,2024-04-08 00:00:00
INV0000336,P0000336,298,2024-05-18 00:00:00
INV0000338,P0000338,397,2024-05-08 03:14:15
INV0000339,P0000339,452,2024-05-24 00:00:00
INV0000340,P0000340,131,2024-04-11 00:00:00
INV0000343,P0000343,36,2024-04-06 00:00:00
