transaction_id,change_type,quantity_change,inventory_id,action_time
TX00020622,restock,1907,INV0340214,2024-04-01 00:00:00
TX00012776,restock,4431,INV0232348,2024-04-01 00:00:00
TX00050189,restock,3102,INV0207924,2024-04-01 00:00:00
TX00028803,restock,387,INV0018810,2024-04-01 00:00:00
TX00037904,restock,42,INV0020548,2024-04-01 00:00:00
TX00045215,restock,325,INV0330633,2024-04-01 00:00:00
TX00064325,restock,276,INV0034067,2024-04-01 00:00:00
TX00012824,restock,230,INV0009242,2024-04-01 00:00:00
TX00037906,restock,300,INV0284104,2024-04-01 00:00:00
TX00050205,restock,276,INV0362979,2024-04-01 00:00:00
TX00050207,restock,292,INV0300676,2024-04-01 00:00:00
TX00064336,restock,353,INV0251046,2024-04-01 00:00:00
TX00004354,restock,23,INV0096502,2024-04-01 00:00:00
TX00028766,restock,11,INV0282541,2024-04-01 00:00:00
TX00028763,restock,249,INV0173010,2024-04-01 00:00:00
TX00045213,restock,31,INV0254920,2024-04-01 00:00:00
TX00058147,restock,95,INV0140644,2024-04-01 00:00:00
TX00050210,restock,9,INV0323921,2024-04-01 00:00:00
TX00045218,restock,454,INV0192164,2024-04-01 00:00:00
TX00004380,restock,17,INV0124685,2024-04-01 00:00:00
TX00058164,restock,310,INV0076135,2024-04-01 00:00:00
TX00037883,restock,5,INV0105347,2024-04-01 00:00:00
TX00028887,restock,50,INV0226676,2024-04-01 00:00:00
TX00058171,restock,37,INV0332828,2024-04-01 00:00:00
TX00028883,restock,1156,INV0085639,2024-04-01 00:00:00
TX00050160,restock,14,INV0159672,2024-04-01 00:00:00
TX00037853,restock,21,INV0282775,2024-04-01 00:00:00
TX00037859,restock,58,INV0208764,2024-04-01 00:00:00
TX00012736,restock,9,INV0031278,2024-04-01 00:00:00
TX00028867,restock,361,INV0019038,2024-04-01 00:00:00
TX00012853,restock,80,INV0125654,2024-04-01 00:00:00
TX00037867,restock,245,INV0143663,2024-04-01 00:00:00
TX00028851,restock,258,INV0143418,2024-04-01 00:00:00
TX00012752,restock,209,INV0165520,2024-04-01 00:00:00
TX00037871,restock,268,INV0025080,2024-04-01 00:00:00
TX00028839,restock,45,INV0134419,2024-04-01 00:00:00
TX00037873,restock,4643,INV0318420,2024-04-01 00:00:00
TX00037877,restock,4272,INV0155881,2024-04-01 00:00:00
TX00012769,restock,18,INV0300687,2024-04-01 00:00:00
TX00028824,restock,104,INV0206330,2024-04-01 00:00:00
TX00050171,restock,49,INV0107426,2024-04-01 00:00:00
TX00028738,restock,39,INV0126479,2024-04-01 00:00:00
TX00028737,restock,41,INV0187994,2024-04-01 00:00:00
TX00028730,restock,30,INV0245929,2024-04-01 00:00:00
TX00064383,restock,75,INV0357009,2024-04-01 00:00:00
TX00012938,restock,36,INV0065077,2024-04-01 00:00:00
TX00058089,restock,33,INV0323838,2024-04-01 00:00:00
TX00028643,restock,301,INV0092045,2024-04-01 00:00:00
TX00037975,restock,545,INV0271024,2024-04-01 00:00:00
TX00037983,restock,5,INV0351163,2024-04-01 00:00:00
TX00037985,restock,3104,INV0172982,2024-04-01 00:00:00
TX00028620,restock,43,INV0057884,2024-04-01 00:00:00
TX00058097,restock,294,INV0112758,2024-04-01 00:00:00
TX00012955,restock,401,INV0021855,2024-04-01 00:00:00
TX00012957,restock,242,INV0054252,2024-04-01 00:00:00
TX00045179,restock,393,INV0138677,2024-04-01 00:00:00
TX00012960,restock,40,INV0200128,2024-04-01 00:00:00
TX00004280,restock,3278,INV0365140,2024-04-01 00:00:00
TX00028610,restock,20,INV0300099,2024-04-01 00:00:00
TX00064399,restock,407,INV0072033,2024-04-01 00:00:00
TX00012969,restock,40,INV0082266,2024-04-01 00:00:00
TX00064403,restock,255,INV0101461,2024-04-01 00:00:00
TX00050277,restock,174,INV0079380,2024-04-01 00:00:00
TX00050149,restock,4085,INV0126171,2024-04-01 00:00:00
TX00012923,restock,41,INV0022324,2024-04-01 00:00:00
TX00012915,restock,413,INV0112572,2024-04-01 00:00:00
TX00037925,restock,98,INV0316206,2024-04-01 00:00:00
TX00050220,restock,191,INV0308504,2024-04-01 00:00:00
TX00050226,restock,456,INV0348908,2024-04-01 00:00:00
TX00028717,restock,146,INV0295824,2024-04-01 00:00:00
TX00028703,restock,2,INV0176126,2024-04-01 00:00:00
TX00037940,restock,22,INV0073780,2024-04-01 00:00:00
TX00028697,restock,557,INV0041936,2024-04-01 00:00:00
TX00028692,restock,19,INV0021922,2024-04-01 00:00:00
TX00064375,restock,247,INV0372206,2024-04-01 00:00:00
TX00028691,restock,4653,INV0326582,2024-04-01 00:00:00
TX00037950,restock,1063,INV0117900,2024-04-01 00:00:00
TX00028684,restock,493,INV0047992,2024-04-01 00:00:00
TX00064369,restock,122,INV0148096,2024-04-01 00:00:00
TX00037959,restock,173,INV0260881,2024-04-01 00:00:00
TX00004313,restock,2272,INV0247902,2024-04-01 00:00:00
TX00037961,restock,41,INV0295865,2024-04-01 00:00:00
TX00058112,restock,212,INV0090975,2024-04-01 00:00:00
TX00004308,restock,57,INV0138674,2024-04-01 00:00:00
TX00037949,restock,4671,INV0373425,2024-04-01 00:00:00
TX00037845,restock,23,INV0066381,2024-04-01 00:00:00
TX00028892,restock,3455,INV0086215,2024-04-01 00:00:00
TX00037841,restock,268,INV0048900,2024-04-01 00:00:00
TX00004520,restock,2917,INV0344571,2024-04-01 00:00:00
TX00064179,restock,4329,INV0089803,2024-04-01 00:00:00
TX00058269,restock,22,INV0303913,2024-04-01 00:00:00
TX00049992,restock,3332,INV0282797,2024-04-01 00:00:00
TX00045313,restock,183,INV0046099,2024-04-01 00:00:00
TX00012547,restock,106,INV0042610,2024-04-01 00:00:00
TX00058249,restock,116,INV0332685,2024-04-01 00:00:00
TX00050001,restock,15,INV0236703,2024-04-01 00:00:00
TX00012515,restock,8,INV0026425,2024-04-01 00:00:00
TX00058247,restock,12,INV0220375,2024-04-01 00:00:00
TX00012557,restock,1,INV0282161,2024-04-01 00:00:00
TX00029058,restock,50,INV0266173,2024-04-01 00:00:00
TX00029051,restock,408,INV0351621,2024-04-01 00:00:00
TX00064188,restock,77,INV0165373,2024-04-01 00:00:00
TX00058231,restock,13,INV0182915,2024-04-01 00:00:00
TX00064190,restock,41,INV0024012,2024-04-01 00:00:00
TX00045300,restock,247,INV0035186,2024-04-01 00:00:00
TX00058220,restock,307,INV0143815,2024-04-01 00:00:00
TX00058243,restock,14,INV0009168,2024-04-01 00:00:00
TX00064192,restock,94,INV0144092,2024-04-01 00:00:00
TX00029102,restock,2377,INV0141602,2024-04-01 00:00:00
TX00049968,restock,17,INV0021006,2024-04-01 00:00:00
TX00045351,restock,34,INV0098203,2024-04-01 00:00:00
TX00029162,restock,427,INV0111350,2024-04-01 00:00:00
TX00012459,restock,4230,INV0079984,2024-04-01 00:00:00
TX00037695,restock,4984,INV0023991,2024-04-01 00:00:00
TX00012460,restock,349,INV0086046,2024-04-01 00:00:00
TX00029161,restock,132,INV0136399,2024-04-01 00:00:00
TX00012464,restock,31,INV0269868,2024-04-01 00:00:00
TX00029152,restock,870,INV0070468,2024-04-01 00:00:00
TX00058271,restock,418,INV0161136,2024-04-01 00:00:00
TX00049952,restock,243,INV0280957,2024-04-01 00:00:00
TX00049957,restock,424,INV0262437,2024-04-01 00:00:00
TX00029125,restock,339,INV0190983,2024-04-01 00:00:00
