review_id,purchase_id,rating,comment,status,last_update
RV0000001,PR0000056,4.8,My boss recommended getting a fire because she had one and so I got one too and i love that i can read my books from my kindle app on a bigger screen than my phone.,visible,2024-06-06 22:10:37
RV0000002,PR0000011,1.4,"This cereal is plenty crunchy, but I'm shocked by the people saying it tastes good.  I found it to be bland, with a little bit of a nasty aftertaste.  I don't know how they managed bland and nasty at the same time, but they did.  I had two bowls, just to make sure my first opinion wasn't off in some way, but then I threw the box out.",visible,2024-06-06 01:00:30
RV0000003,PR0000044,4.5,"I received this crepe mix as a gift from my mom. This mix makes it even easier to make a perfect batch of crepes with no fuss. They always turn out perfectly and have a very homemade taste to them. Slightly leans on the sweeter side though so probably best as dessert or breakfast crepes, not quite the best for mushroom or savory flavors.",visible,2024-06-04 09:21:29
RV0000004,PR0000018,4.5,these are good for what they are. They are not candy bars so don't expect that taste. These are more like meal replacement bars.,visible,2024-06-05 08:48:48
RV0000005,PR0000088,5.0,"I first received Zatarian's Creole Mustard for my birthday over two decades ago from a friend in New Orleans.  It is unique, not really having a strong mustard taste, almost like a horseradish/mustard if you can imagine.  When their factory was wiped out by a hurricane, they e-mailed customers from a remote location with updates on their facilities, employees & product availability.  I HATE MUSTARD AND NEVER USE IT ON ANYTHING but I LOVE ZATARAIN'S CREOLE MUSTARD unconditionally.  I have carefully packed over a dozen of these bottles in my suitcases when I traveled on business to the region.  Now I purchase a dozen on line at a time.  They keep PERFECTLY for OVER 1 TO 2 OR MORE YEARS beyond the date on the bottle if they have not been opened & the vacuum seal is intact.<br /><br />Try a bottle if you like horseradish or spicy 'dark' mustard you will become addicted to it as I & many others have...",visible,2024-06-10 08:53:51
RV0000006,PR0000004,4.1,Excellent tablet for kids. Does everything that an I Pad can do.,visible,2024-06-13 23:52:55
RV0000007,PR0000052,4.1,"The pump is sturdy and fits well Da Vinci sauce bottles as stated. If you put this in your new syrup bottle be careful to use some of it first. Otherwise, it will overflow and spill. I only wish Amazon would sell this to have a chance of free shipping since you end up paying almost as most for the shipping as the cost of the item.",visible,2024-06-05 18:00:19
RV0000008,PR0000006,4.4,Good flavor and bold accents.  Very good but just doesn't<br />Grab me. I tend to rprefer very bold and strong coffee.,visible,2024-06-08 00:38:47
RV0000009,PR0000025,4.6,"Previously I had purchased the Chicago Mix, but decided to try the ""Just Caramel"" this time.  Great stuff--I highly recommend.",visible,2024-06-03 00:42:42
RV0000010,PR0000008,3.6,I'm back on Amazon today to buy more to make iced coffee. I can't keep sending my husband out to dunkin donuts..  enjoy.,visible,2024-06-01 05:14:56
RV0000011,PR0000026,3.3,"I have been buying these for my coonhound and retriever. They love them as in they can go through one a day. When I first started buying them a couple of months ago they were $1 a piece, now doubled in price. I can no longer afford their rawhide habit. I have switched to natural bones, cheaper and probably healthier. These are NOT made in USA but Central America.",visible,2024-06-06 04:05:33
RV0000012,PR0000061,4.7,"Our Tassimo T65, along with other popular Tassimo models and many t-discs, recently got recalled for an exploding hot water problem. The ""fix"" is a new install-it-yourself t-disc holder assembly (still waiting for ours) + newly designed t-discs. After growing increasingly frustrated with the recall, the shortage of our favorite coffees and concerns about Tassimo's long-term viability, we (my wife and I) decided to join everyone else on the planet and buy a Keurig.<br /><br />After reading many reviews, the Keurig B145 OfficePro seemed to make the most sense - reasonably priced, decent reviews and didn't appear to exhibit some of the problems the consumer-grade Keurigs are known for. Took the plunge and bought it from Amazon (I really value/appreciate the simplicity of their return policy) and so far we're very happy with our purchase.<br /><br />My first impression after unboxing the B145 (shared by other reviewers) is that it is a substantial machine and probably deserves its ""Office"" designation. Be aware that it's notably taller than the Tassimo, which presents a very minor issue in that in our kitchen we have to make sure the machine is either all the way under our kitchen cabinets (near the wall) or pulled out enough so the lift-handle can clear our decorative cabinet bottom-edge molding, which drops an inch+ below our standard-clearance cabinet bottoms.<br /><br />Unlike a few other reviewers, there was no problem whatsoever priming the machine, nor do we think it's any louder than our Tassimo was (probably quieter after the initial prime). We're currently enjoying trying all the coffees (some more than others) in the included 18 k-kup sampler and appreciate the expanded selection and pricing of the 50-pack coffees on Amazon. All-in-all a solid purchase (so far) that I/we can easily recommend.",visible,2024-06-14 17:00:23
RV0000013,PR0000046,2.7,"For anyone who does any cooking that involves poppy seeds, it makes total sense to buy in semi-bulk.<br /><br />For the cost of two, twenty-eight ounces of these high quality Colorado Spice seeds, you might be able to buy a few ounces (6-9 bottles) from your local grocery store.<br /><br />There are many great recipes from Eastern Europe that use lots and lots of these tasty seeds. I haven't bothered trying to buy in super-bulk yet, like the 70 lbs bags! But I might in the near future :)<br /><br />I should offer a warning to people who are subjected to random urinalyses: at work, in the military or on probation: some of the recipes that call for a large amounts of poppy seeds (like Hungarian ""Beiglis"") can cause a positive result for opiate use.<br /><br />I run these tests for people in my department and for some employees, it can cause serious problems, so please be careful! I unofficially tested myself after eating a Czech Kolache, and my pee was positive for opiates for four days!! (using the OPI2000 indicator kit)<br /><br />Probably best not to bring these dishes in to work and share them with your co-workers! They covered this on Myth-Busters I heard, and its absolutely true.",visible,2024-06-09 15:19:38
RV0000014,PR0000060,4.4,I like to use this stuff on a low-fat brownie I have. It's pretty good! Gives me the peanut butter flavor. I'm not sure about spreading this on some toast or anything.,visible,2024-06-02 20:07:42
RV0000015,PR0000094,4.3,"I can't comment on the regular, but I just bought a can of this at a local Italian grocery store in the decaffeinated and it is absolutely smooth, did not at all taste burned or bitter. It's better than any other decaf coffee in the grocery store aisle that I have tried. I picked it up because my employer brought back some coffee from Italy that was heavenly a couple of years ago but that is not available stateside. This was not quite the same, but again, was still better than anything else I've tasted from the grocery store!",visible,2024-06-04 14:13:14
RV0000016,PR0000117,2.4,"I've been trying to replicate the movie theater popcorn experience at home for a year now trying different oils, corn, and toppings.  I purchased this recently after I ran out of Paragon Coconut oil to pop with.  At first I thought it tasted pretty good.  After popping with it 5 times I have just recently purchased more Coconut oil to use for popping.  This product is canola oil, coloring, and butter flavor.  It imparts an almost artificial butter flavor to the popcorn versus coconut oil and the more you eat popcorn made with it the more you dislike it.  At least that's what happened to me.  The smell is odd and not very appealing out of the jug and doesn't change for the better when heated. If theaters are using canola oil in place of coconut oil now then this is not what they use.  I'd stick with Coconut oil since that is what makes popcorn the best.",visible,2024-06-14 13:00:33
RV0000017,PR0000023,4.5,"I loved the first bottle of this dressing:  it disappeared quickly:  but the sweetness of the Honey Catalina became overwhelming:  the second bottle I went through slowly and now I'm stuck on the third bottle (I can go through ranch dressing like soda by comparison).  I would buy this dressing again, but never again in bulk.",visible,2024-06-09 01:11:41
RV0000018,PR0000077,5.0,Amazon is the only place we can find Natural Light Popcorn.  My husband will only eat the Natural Light and it is good that we can find it on line.,visible,2024-06-13 23:15:32
RV0000019,PR0000039,4.4,"The pasta was actually better than I expected, even though it was a bit too spicy for my tastes.  I ate a few saltine crackers with it to help ""tone down"" the spiciness.  The directions were spot on as far as the cooking time.<br /><br />For those who are concerned about the packaging, I've started washing and reusing my containers.  You can add your own pasta (I used a little less than 1/2 cup), cook it just like the original instructions say, then add some spaghetti sauce.  Viola!  ;-)  I'm still experimenting, but so far I'd recommend a small-sized, thin pasta so it'll cook faster.  Regular elbow macaroni takes longer than 3-1/2 minutes to cook. ;-)<br /><br />But anyway, I'll give the dinner 4 stars, and would bump it to 5 stars if they'd tone down the spices just a bit.",visible,2024-06-12 10:12:05
RV0000020,PR0000126,5.0,"My daughter has tried ALL of the formulas out there and this one is the only one she doesn't projectile vomit from. She spits up, but very little considering what she was doing before. So , if you are expecting this formula to take away spit up, you will be disapopinted. It just lessens it by about 90 %. Great product",visible,2024-06-14 03:48:43
RV0000021,PR0000118,4.8,"I've tried everything to increase milk production. At one point I was taking 28 pills per day (fenugreek, goat's rue, domperidone) and not getting any results. I quit all the herbs because it was too much. Yesterday I put 5 of these tea bags in my iced tea maker and drank 3 large glasses. Last night I got a full extra ounce when I pumped. I will drink buckets of this stuff if it works that well. The taste is not great, but I can live with it.<br /><br />Editing review from 4 stars to 5 stars. In one day I noticed an increase. This is day two and the increase is even more significant. I can't believe I had been wasting so much money on all those pills for months when this is what I needed. Originally I had the review at 4 stars because of the taste, but the results are so great I no longer care about the taste.",visible,2024-06-01 00:31:45
RV0000022,PR0000097,4.5,"It smells better than most formulas, also is sweeter in smell, Great flavor it seems to be for my son. He has been a highly colicy baby, and very gassy. He has finally adjusted at 4 months once he has started on some fruit. It's not an instant gas helping formula. Little tummys gas drops have been my priority choice for gas.  Colief infant drops is now put in everyone of his bottles made. I have not had any problems from him since I began him on Colief.",visible,2024-06-05 13:36:27
RV0000023,PR0000104,5.0,"I am not generally a big herbal tea drinker, but I do enjoy drinking rosehips tea.  I found it next to impossible to get good tea - rosehips tea bags are generally too dry and filled with by-products, often just flavored with rose hips.  I ordered Tao of Tea Rosehips with my fingers crossed.  I was not disappointed.<br /><br />The package contained two 3.5 ounce tins.  Each tin is sealed to protect the freshness of the contents inside.  I was hoping I would not find any twigs or other by-products (as added to teabags), and I definitely did not want hibiscus in the tea, as I find hibiscus to be too sour.  Rosehips are fruits of rose plants and they are generally sweet with a slightly tangy flavor.  When I first twisted the lid open, I saw that there was an additional, smaller lid inside, which definitely sealed the product.<br /><br />The tin seems too big for the product, as the tin looks half empty - but the tin does contain the 3.5 ounces of rosehips.  The rosehips themselves are fresh, dried, soft to the touch (freshly dehydrated).  I steeped one teaspoon of rosehips per 8 ounces of water (at 205 degrees) for seven minutes.  The tin does instruct a shorter steep time, but I like a stronger brew of rosehips.  Unlike the green tea (in which case one would add more tea leaves for a stronger brew), with rosehips one needs to brew the fruit longer.  The brew came out perfect.  Even when I made a whole pot of tea, and after standing for a while, the brew tasted great.<br /><br />Highly recommended!",visible,2024-06-13 11:03:39
RV0000024,PR0000024,3.0,"A friend gave a few cups of this to try.  Coffee was great.  The cup did not fit my Keurig Special Edition (a few years old) model well.  It did not fully seat in the cup holder and top would not close completely unless one held it down during brew cycle.<br /><br />Too bad, it seems like a nice lower waste design for the coffee holder cup.  But it simply did not fit my machine properly.",visible,2024-06-07 04:17:20
RV0000025,PR0000051,3.3,Smells fishy but doesnt taste bad. its great for zero carb alternative food.<br />good for stirfry and easy to make. overall a good product,visible,2024-06-06 23:11:41
RV0000026,PR0000110,3.8,"I should premise this by saying I am not a huge fan of overly sweet drinks. This product comes in a box of 10 small pouches full of drink mix. The directions say to pour the mix in a 16.9 oz bottle of water and shake vigorously or pour into a glass of water and stir. It warns that the tea takes some time to dissolve, and it did- about a minute of stirring before it was fully dissolved. It was easy to mix with a bottle you can shake, but it does eventually dissolve. The tea itself is fairly sweet, but still nice and tart enough for me. I preferred to water it down even more than the box suggested and put one pouch into a 20oz. bottle which made it more palatable for me. However, if you prefer your drinks more on the sweet side, I would follow the directions as stated.  There is about 20 mg of caffeine per pouch as well and 10 calories per packet. Overall, pretty tasty little drink mix! Definitely a convenient way to zing up your water on the go!",visible,2024-06-12 04:10:45
RV0000027,PR0000098,5.0,The whole family loves Alexa. Great speaker. Easy to setup and use.,visible,2024-06-05 17:23:14
RV0000028,PR0000090,5.0,"Streaming quality is great and nicely organizes media from Netflix, Hulu etc",visible,2024-06-12 18:19:25
RV0000029,PR0000066,5.0,"In some ways it bothers me the way I depend on Lundberg Family Farms products for so much of my daily food...if it weren't for this company this celiac would've starved to death by now!<br />These chips are absolutely wonderful, fantastic, and delicious!!! They are great on the road. They are a staple of my diet, as there is not much I can safely eat with my ""truckload"" of food allergies. If I had a complaint, it would be that they don't make the bags in any size larger than 6oz...Frankly 6oz. doesn't go very far for the $. That's why I'm so grateful to be able to get them through Amazon. Otherwise, I'd be much more hungry more often!",visible,2024-06-06 15:57:34
RV0000030,PR0000032,5.0,Bought for Christmas and my daughter loves it. $50.00 for a tablet is a great deal.,visible,2024-06-02 11:35:53
RV0000031,PR0000013,4.8,"I have ordered almost 100 pounds of these over the past several months.  They are really good.  They are not hard/chewy.  They are very tasty, delicious, and made here in the US. :)",visible,2024-06-15 09:05:12
RV0000032,PR0000041,4.5,"My dogs loved this, and chewed on it for about 4 hours. It's not terribly everlasting. They killed the treat in roughly four hours. It's a reasonably inexpensive treat though, so it's not too bad.",visible,2024-06-05 05:17:11
RV0000033,PR0000001,3.8,"We have a neighbor who loves walking his dog at the end of the street where we live. The little critter is constantly using my mailbox flower garden as a toilet, and I requested this product to see if I could deter him. It definitely works short-term. I like that it has natural ingredients, but it also says don't use around vegetable plants. That is a bit concerning to me. It's also pricey, so I'm not sure this could be a regular solution, since it doesn't seem to work for anywhere close to 30 days, as the label states. Now, we've had an unusual amount of rain this year, so that could play into the effectiveness of the product; but the price would even make me think twice about purchasing it once a month for an entire season.",visible,2024-06-09 20:05:36
RV0000034,PR0000099,3.7,"This lemon juice is not reconstituted like green bottle on the market shelf. Once opened it must be in the fridge, it makes a decent salad dressing w EVOO and squirted on fish. I also managed a faint lemon chess pie, faint because there's no peel:-)<br /><br />So I'm happy and appreciative because lemons are currently selling at .70 apiece and that's outrageous.",visible,2024-06-07 23:57:05
RV0000035,PR0000014,2.8,"My dogs like this trea.  The picture makes the package look much fuller than it actually is, but other than that I got what I paid for.",visible,2024-06-02 13:52:28
RV0000036,PR0000115,3.6,Amazon products are always good as expected. And I am totally satisfied with my purchase.,visible,2024-06-08 17:38:10
RV0000037,PR0000015,5.0,"I highly recommend this product as it has an amazing taste and once you get hooked, you can't go back.  You can use it on salads, as a marinade, or as a dip for fine breads.  It's very healthy for you as well since it does not contain the junk additives that you usually find in commercial dressings and marinades.<br /><br />Give it a try, you won't be sorry!",visible,2024-06-04 16:44:58
