audit_id,admin_id,store_id,action_type,reason,action_time
AU0000001,A02221,ST05118,approve,,2024-02-07 09:52:18
AU0000002,A00836,ST05930,approve,,2024-02-27 00:15:28
AU0000003,A00246,ST06006,approve,,2024-02-11 14:44:28
AU0000004,A02413,ST05069,approve,,2024-02-28 17:48:45
AU0000005,A01489,ST03489,approve,,2024-02-03 21:55:06
AU0000006,A01695,ST03609,approve,,2024-02-02 11:07:53
AU0000007,A03278,ST05379,approve,,2024-02-09 00:07:11
AU0000008,A05335,ST05010,approve,,2024-02-23 07:29:06
AU0000009,A02570,ST00143,approve,,2024-02-03 16:29:09
AU0000010,A02974,ST07595,approve,,2024-02-15 04:12:41
AU0000011,A00403,ST05113,approve,,2024-02-24 12:05:56
AU0000012,A04522,ST06640,approve,,2024-02-19 02:18:59
AU0000013,A03932,ST07334,approve,,2024-02-24 05:05:04
AU0000014,A01346,ST07669,approve,,2024-02-10 05:35:26
AU0000015,A05034,ST08462,approve,,2024-02-25 20:10:51
AU0000016,A04600,ST04381,approve,,2024-02-15 18:27:46
AU0000017,A04596,ST03492,approve,,2024-02-16 19:52:40
AU0000018,A04103,ST06647,approve,,2024-02-18 04:49:57
AU0000019,A01202,ST01053,approve,,2024-02-21 17:18:03
AU0000020,A00377,ST04580,approve,,2024-02-04 10:07:36
AU0000021,A01400,ST00520,approve,,2024-02-13 08:58:48
AU0000022,A04518,ST03380,approve,,2024-02-01 21:40:53
AU0000023,A00817,ST04159,approve,,2024-02-13 00:21:35
AU0000024,A04914,ST03211,approve,,2024-02-04 19:57:15
AU0000025,A00030,ST06451,approve,,2024-02-13 10:44:47
AU0000026,A00085,ST03646,approve,,2024-02-09 07:56:32
AU0000027,A02653,ST02820,approve,,2024-02-12 02:38:06
AU0000028,A04084,ST06619,approve,,2024-02-13 01:33:56
AU0000029,A01259,ST01714,approve,,2024-02-27 17:10:40
AU0000030,A01755,ST03930,approve,,2024-02-06 21:45:48
AU0000031,A04504,ST01387,approve,,2024-02-16 20:01:49
AU0000032,A02136,ST05226,approve,,2024-02-15 00:33:59
AU0000033,A01255,ST00827,approve,,2024-02-26 02:30:11
AU0000034,A02333,ST08273,approve,,2024-02-21 02:43:56
AU0000035,A03977,ST05709,approve,,2024-02-07 02:22:42
AU0000036,A00160,ST03172,approve,,2024-02-17 03:41:17
AU0000037,A01327,ST01777,approve,,2024-02-06 13:35:55
AU0000038,A05289,ST03724,approve,,2024-02-16 20:23:40
AU0000039,A04472,ST04168,approve,,2024-02-08 11:12:53
AU0000040,A01486,ST01645,approve,,2024-02-07 17:56:02
AU0000041,A00050,ST02572,approve,,2024-02-02 20:09:38
AU0000042,A01328,ST00332,approve,,2024-02-23 14:43:10
AU0000043,A02208,ST04767,approve,,2024-02-03 19:46:06
AU0000044,A00955,ST06034,approve,,2024-02-09 04:11:56
AU0000045,A04994,ST06079,approve,,2024-02-01 21:23:33
AU0000046,A01275,ST02779,approve,,2024-02-07 22:50:16
AU0000047,A00718,ST00334,approve,,2024-02-16 04:39:03
AU0000048,A01934,ST02744,approve,,2024-02-27 08:53:07
AU0000049,A02967,ST04236,approve,,2024-02-06 11:43:56
AU0000050,A03352,ST03703,approve,,2024-02-09 22:53:30
AU0000051,A03455,ST04953,approve,,2024-02-15 05:07:43
AU0000052,A02424,ST04066,approve,,2024-02-21 08:26:01
AU0000053,A00211,ST05274,approve,,2024-02-08 05:55:57
AU0000054,A02133,ST08081,approve,,2024-02-09 22:53:51
AU0000055,A00364,ST03029,approve,,2024-02-13 19:46:11
AU0000056,A02431,ST03750,approve,,2024-02-23 09:04:10
AU0000057,A04553,ST05977,approve,,2024-02-21 08:47:43
AU0000058,A01643,ST05458,approve,,2024-02-14 18:13:00
AU0000059,A02747,ST03748,approve,,2024-02-25 14:45:40
AU0000060,A00846,ST00478,approve,,2024-02-06 17:22:29
AU0000061,A02068,ST07519,approve,,2024-02-02 21:37:42
AU0000062,A04690,ST07433,approve,,2024-02-12 01:28:04
AU0000063,A04929,ST02515,approve,,2024-02-11 19:31:02
AU0000064,A01396,ST02675,approve,,2024-02-04 08:15:36
AU0000065,A02231,ST05265,approve,,2024-02-16 00:06:43
AU0000066,A03509,ST04857,approve,,2024-02-24 15:44:19
AU0000067,A04541,ST07861,approve,,2024-02-16 06:20:57
AU0000068,A01672,ST08145,approve,,2024-02-27 18:08:08
AU0000069,A01591,ST03120,approve,,2024-02-02 11:35:44
AU0000070,A02859,ST06906,approve,,2024-02-15 17:59:13
AU0000071,A01576,ST02448,approve,,2024-02-08 15:25:13
AU0000072,A04604,ST02993,approve,,2024-02-07 00:23:58
AU0000073,A04456,ST06298,approve,,2024-02-19 06:27:02
AU0000074,A03226,ST08252,approve,,2024-02-01 13:34:19
AU0000075,A04915,ST07602,approve,,2024-02-02 10:09:01
AU0000076,A04255,ST08250,approve,,2024-02-20 05:07:46
AU0000077,A05284,ST04459,approve,,2024-02-09 22:40:07
AU0000078,A01950,ST00586,approve,,2024-02-09 13:28:22
AU0000079,A01304,ST01811,approve,,2024-02-21 23:05:16
AU0000080,A01752,ST00866,approve,,2024-02-16 17:37:10
AU0000081,A05341,ST08112,approve,,2024-02-11 07:52:57
AU0000082,A02674,ST02180,approve,,2024-02-22 15:56:43
AU0000083,A03136,ST00119,approve,,2024-02-19 05:19:22
AU0000084,A03045,ST02701,approve,,2024-02-09 11:52:34
AU0000085,A02114,ST00842,approve,,2024-02-24 16:07:55
AU0000086,A03873,ST07652,approve,,2024-02-20 11:20:31
AU0000087,A02863,ST04532,approve,,2024-02-03 19:02:00
AU0000088,A03356,ST01901,approve,,2024-02-03 17:38:32
AU0000089,A05480,ST00331,approve,,2024-02-26 19:58:05
AU0000090,A05471,ST00369,approve,,2024-02-23 21:48:48
AU0000091,A02149,ST03325,approve,,2024-02-08 00:04:25
AU0000092,A04830,ST03225,approve,,2024-02-28 18:14:30
AU0000093,A01115,ST07466,approve,,2024-02-24 21:35:00
AU0000094,A04959,ST00349,approve,,2024-02-24 13:48:12
AU0000095,A04313,ST05593,approve,,2024-02-09 14:44:06
AU0000096,A05025,ST03350,approve,,2024-02-03 18:29:12
AU0000097,A01345,ST03249,approve,,2024-02-09 01:43:45
AU0000098,A03913,ST03297,approve,,2024-02-06 19:36:31
AU0000099,A01622,ST04053,approve,,2024-02-13 14:43:12
AU0000100,A00980,ST05415,approve,,2024-02-24 01:19:26
AU0000101,A03732,ST00383,approve,,2024-02-24 04:15:45
AU0000102,A04998,ST05595,approve,,2024-02-24 00:17:46
AU0000103,A00325,ST05168,approve,,2024-02-27 03:57:25
AU0000104,A04048,ST03239,approve,,2024-02-04 00:59:03
AU0000105,A00123,ST06078,approve,,2024-02-26 17:46:13
AU0000106,A02659,ST01084,approve,,2024-02-12 12:16:52
AU0000107,A05449,ST06353,approve,,2024-02-01 21:51:05
AU0000108,A04879,ST03563,approve,,2024-02-11 12:58:45
AU0000109,A04618,ST03968,approve,,2024-02-20 07:21:24
AU0000110,A01210,ST03347,approve,,2024-02-16 10:04:17
AU0000111,A02287,ST06609,approve,,2024-02-12 00:24:20
AU0000112,A04451,ST05169,approve,,2024-02-02 16:34:04
AU0000113,A00916,ST04526,approve,,2024-02-28 10:02:40
AU0000114,A04977,ST05504,approve,,2024-02-07 06:03:22
AU0000115,A02075,ST03653,approve,,2024-02-11 01:32:25
AU0000116,A03133,ST03864,approve,,2024-02-17 23:00:43
AU0000117,A02169,ST01589,approve,,2024-02-04 13:45:18
AU0000118,A04371,ST08483,approve,,2024-02-07 05:30:53
AU0000119,A02107,ST03946,approve,,2024-02-15 09:44:22
AU0000120,A00732,ST07737,approve,,2024-02-13 09:29:57
AU0000121,A03890,ST07383,approve,,2024-02-13 19:48:38
AU0000122,A00055,ST03840,approve,,2024-02-18 10:01:24
AU0000123,A02413,ST04786,approve,,2024-02-26 08:29:48
AU0000124,A01372,ST02105,approve,,2024-02-23 07:20:13
AU0000125,A04974,ST04804,approve,,2024-02-04 08:32:42
AU0000126,A03171,ST02781,approve,,2024-02-15 18:36:31
AU0000127,A04681,ST00742,approve,,2024-02-12 11:50:56
AU0000128,A04553,ST04835,approve,,2024-02-03 04:08:20
AU0000129,A00243,ST00805,approve,,2024-02-15 23:34:06
AU0000130,A03430,ST06100,approve,,2024-02-27 11:27:19
AU0000131,A05254,ST08348,approve,,2024-02-19 16:27:56
AU0000132,A03401,ST02465,approve,,2024-02-07 16:54:43
AU0000133,A03534,ST06053,approve,,2024-02-12 02:27:16
AU0000134,A03698,ST07276,approve,,2024-02-27 12:21:19
AU0000135,A05043,ST00022,approve,,2024-02-27 12:46:59
AU0000136,A03998,ST01416,approve,,2024-02-02 15:54:53
AU0000137,A04499,ST03716,approve,,2024-02-07 15:12:56
AU0000138,A04772,ST03078,approve,,2024-02-07 11:27:05
AU0000139,A04724,ST00271,approve,,2024-02-12 08:33:34
AU0000140,A00350,ST04942,approve,,2024-02-27 10:04:39
AU0000141,A01135,ST03138,approve,,2024-02-12 16:03:19
AU0000142,A04590,ST04750,approve,,2024-02-18 18:57:07
AU0000143,A01677,ST03859,approve,,2024-02-21 10:16:56
AU0000144,A01151,ST06134,approve,,2024-02-26 20:27:33
AU0000145,A00834,ST01153,approve,,2024-02-06 15:18:04
AU0000146,A05434,ST00724,approve,,2024-02-14 11:33:34
AU0000147,A03780,ST08482,approve,,2024-02-23 11:50:13
AU0000148,A01121,ST01638,approve,,2024-02-10 23:29:48
AU0000149,A01735,ST03165,approve,,2024-02-20 16:43:08
AU0000150,A03694,ST06198,approve,,2024-02-18 03:23:02
AU0000151,A02463,ST03154,approve,,2024-02-02 11:33:17
AU0000152,A00715,ST00075,approve,,2024-02-20 17:31:03
AU0000153,A05005,ST07980,approve,,2024-02-27 20:25:51
AU0000154,A02037,ST07483,approve,,2024-02-18 20:52:19
AU0000155,A02064,ST08011,approve,,2024-02-01 15:06:29
AU0000156,A04892,ST06732,approve,,2024-02-15 00:04:04
AU0000157,A00975,ST00984,approve,,2024-02-06 16:11:03
AU0000158,A02006,ST05902,approve,,2024-02-25 01:37:46
AU0000159,A00110,ST04237,approve,,2024-02-04 12:08:38
AU0000160,A03905,ST00890,approve,,2024-02-11 00:31:41
AU0000161,A04414,ST07199,approve,,2024-02-13 15:18:54
AU0000162,A02852,ST04434,approve,,2024-02-18 23:17:51
AU0000163,A05064,ST07432,approve,,2024-02-24 22:38:55
AU0000164,A04008,ST01908,approve,,2024-02-15 02:59:17
AU0000165,A03362,ST07084,approve,,2024-02-09 17:20:12
AU0000166,A02326,ST07646,approve,,2024-02-22 15:50:03
AU0000167,A04776,ST04382,approve,,2024-02-06 09:33:35
AU0000168,A03249,ST04253,approve,,2024-02-01 19:06:48
AU0000169,A01025,ST01254,approve,,2024-02-28 11:55:26
AU0000170,A04514,ST05351,approve,,2024-02-04 02:42:50
AU0000171,A00592,ST01911,approve,,2024-02-15 19:22:06
AU0000172,A02576,ST06711,approve,,2024-02-25 23:46:37
AU0000173,A04643,ST04364,approve,,2024-02-07 16:03:37
AU0000174,A02711,ST02800,approve,,2024-02-24 05:47:56
AU0000175,A01188,ST00934,approve,,2024-02-19 02:34:12
AU0000176,A00787,ST02120,approve,,2024-02-28 08:05:54
AU0000177,A01945,ST06589,approve,,2024-02-09 02:17:13
AU0000178,A00658,ST02174,approve,,2024-02-23 12:40:18
AU0000179,A05497,ST06056,approve,,2024-02-05 13:16:18
AU0000180,A03950,ST07907,approve,,2024-02-09 13:16:26
AU0000181,A04901,ST01156,approve,,2024-02-23 04:10:28
AU0000182,A04426,ST04326,approve,,2024-02-26 16:02:49
AU0000183,A01909,ST06205,approve,,2024-02-27 10:57:18
AU0000184,A03649,ST06062,approve,,2024-02-09 04:40:36
AU0000185,A03516,ST04426,approve,,2024-02-15 10:35:20
AU0000186,A01854,ST05553,approve,,2024-02-10 15:05:20
AU0000187,A04783,ST02805,approve,,2024-02-19 01:12:40
AU0000188,A00362,ST07137,approve,,2024-02-18 09:07:26
AU0000189,A02851,ST01148,approve,,2024-02-15 11:08:59
AU0000190,A00268,ST05129,approve,,2024-02-08 14:53:17
AU0000191,A01047,ST02813,approve,,2024-02-17 11:59:21
AU0000192,A01023,ST04073,approve,,2024-02-06 13:46:27
AU0000193,A02265,ST02608,approve,,2024-02-06 12:47:22
AU0000194,A02564,ST06227,approve,,2024-02-21 10:10:31
AU0000195,A04031,ST00703,approve,,2024-02-09 16:57:20
AU0000196,A02490,ST04605,approve,,2024-02-22 09:13:40
AU0000197,A01594,ST02587,approve,,2024-02-25 01:14:18
AU0000198,A05033,ST02946,approve,,2024-02-06 20:47:53
