cart_id,product_id,quantity,last_update
CT02400,P0219942,2,2024-04-05 21:32:44
CT03840,P0230621,1,2024-04-09 22:20:36
CT02493,P0327517,1,2024-04-04 20:14:09
CT03932,P0009925,1,2024-04-03 21:36:22
CT04615,P0221370,1,2024-04-01 20:01:29
CT05636,P0256503,1,2024-04-04 11:38:18
CT03170,P0347028,1,2024-04-08 09:36:22
CT01077,P0268455,1,2024-04-02 00:44:14
CT03734,P0371102,1,2024-04-05 01:32:16
CT01892,P0181315,2,2024-04-14 17:12:59
CT02374,P0149839,2,2024-04-13 19:07:07
CT00797,P0080630,1,2024-04-12 05:28:27
CT01386,P0090656,7,2024-04-02 16:31:33
CT03324,P0078655,1,2024-04-02 04:05:35
CT01382,P0210129,1,2024-04-04 05:05:38
CT06018,P0263508,8,2024-04-09 12:48:28
CT04548,P0043246,1,2024-04-05 06:16:08
CT02148,P0044322,2,2024-04-09 04:58:47
CT03244,P0069621,1,2024-04-08 19:27:29
CT03757,P0068599,1,2024-04-06 04:43:41
CT01750,P0042809,1,2024-04-08 05:22:45
CT01369,P0050925,2,2024-04-07 21:25:04
CT00718,P0108379,1,2024-04-12 16:23:02
CT04018,P0000554,2,2024-04-12 08:52:18
CT05761,P0364207,1,2024-04-11 18:52:16
CT05695,P0208707,1,2024-04-02 10:16:17
CT01320,P0328713,1,2024-04-14 18:57:38
CT05760,P0265527,1,2024-04-11 03:37:38
CT03943,P0266149,1,2024-04-02 20:09:12
CT00632,P0143484,1,2024-04-07 17:16:48
CT00669,P0194508,5,2024-04-02 23:12:03
CT00169,P0166291,10,2024-04-06 16:11:19
CT01351,P0266035,1,2024-04-08 08:07:44
CT02490,P0011773,1,2024-04-03 15:47:08
CT00197,P0384626,1,2024-04-05 09:51:40
CT02725,P0006503,1,2024-04-11 19:17:20
CT04536,P0284904,1,2024-04-03 23:16:06
CT05653,P0270881,1,2024-04-14 23:06:12
CT05042,P0175351,2,2024-04-11 19:48:19
CT05144,P0318791,1,2024-04-01 04:59:19
CT00025,P0320903,1,2024-04-05 13:43:22
CT05361,P0186069,2,2024-04-03 14:21:26
CT02161,P0101541,1,2024-04-04 12:34:51
CT05605,P0108756,8,2024-04-03 04:33:58
CT04057,P0098757,1,2024-04-09 03:58:27
CT03818,P0014790,2,2024-04-09 07:12:16
CT04874,P0153875,1,2024-04-11 08:26:27
CT02915,P0078247,1,2024-04-14 17:43:37
CT05608,P0016559,1,2024-04-04 17:01:52
CT03605,P0203547,2,2024-04-08 17:03:18
CT05390,P0196696,1,2024-04-12 16:50:06
CT01156,P0225883,1,2024-04-06 14:49:10
CT02915,P0134093,1,2024-04-12 06:45:16
CT03454,P0099724,1,2024-04-07 10:25:41
CT01476,P0047154,1,2024-04-08 03:25:57
CT06272,P0271960,1,2024-04-04 06:53:15
CT04696,P0013892,7,2024-04-09 15:53:40
CT02355,P0290298,1,2024-04-05 22:33:44
CT03389,P0084486,1,2024-04-02 15:08:48
CT01648,P0122577,1,2024-04-14 10:00:40
CT00389,P0064083,1,2024-04-06 23:38:02
CT02505,P0233268,2,2024-04-14 18:32:56
CT00675,P0188570,3,2024-04-08 18:06:39
CT06185,P0107695,1,2024-04-07 15:42:08
CT00597,P0190720,1,2024-04-10 09:24:54
CT01528,P0303508,6,2024-04-03 00:12:49
CT02787,P0157075,2,2024-04-14 22:27:23
CT05518,P0341864,1,2024-04-06 16:50:34
CT01329,P0082279,1,2024-04-08 10:35:26
CT03483,P0132901,2,2024-04-04 23:55:23
CT05082,P0033237,1,2024-04-13 13:36:58
CT04688,P0070971,1,2024-04-09 10:35:53
CT04351,P0108008,1,2024-04-13 12:21:55
CT05453,P0306824,2,2024-04-03 06:29:06
CT06058,P0286377,5,2024-04-01 19:38:44
CT06449,P0141008,1,2024-04-04 18:41:10
CT01764,P0381053,3,2024-04-09 09:53:52
CT03475,P0170335,1,2024-04-12 07:49:20
CT00222,P0375959,2,2024-04-12 07:36:44
CT04097,P0328661,1,2024-04-14 10:03:14
CT02452,P0332685,7,2024-04-04 20:22:41
CT04025,P0110516,1,2024-04-10 14:07:25
CT00699,P0025124,1,2024-04-11 13:11:13
CT01995,P0006051,1,2024-04-03 22:21:33
CT03760,P0215542,2,2024-04-14 02:59:27
CT00709,P0354355,1,2024-04-03 04:10:30
CT05301,P0208986,1,2024-04-11 02:35:00
CT00199,P0130441,1,2024-04-06 17:37:55
CT04998,P0033273,1,2024-04-08 18:29:44
CT01093,P0279290,1,2024-04-01 12:25:42
CT00144,P0315832,1,2024-04-06 05:49:21
CT01155,P0363327,1,2024-04-08 09:05:39
CT04974,P0111339,10,2024-04-13 03:47:58
CT02092,P0060186,1,2024-04-04 06:44:56
CT00029,P0384151,9,2024-04-04 16:10:49
CT06024,P0350336,9,2024-04-13 06:50:36
CT06474,P0013904,1,2024-04-10 00:44:11
CT05663,P0233840,1,2024-04-12 22:20:45
CT00820,P0051579,1,2024-04-02 17:43:08
CT01777,P0029806,1,2024-04-06 23:12:03
CT05034,P0311122,1,2024-04-01 18:56:07
CT01744,P0334110,2,2024-04-01 23:50:50
CT00138,P0124466,2,2024-04-06 09:08:34
CT00749,P0234576,2,2024-04-14 19:36:07
CT02899,P0296127,1,2024-04-14 01:34:53
CT04867,P0380786,2,2024-04-03 07:02:11
CT05936,P0247636,1,2024-04-09 00:36:42
CT01044,P0155749,2,2024-04-08 23:02:11
CT05765,P0023654,1,2024-04-10 22:29:34
CT03973,P0381719,1,2024-04-02 13:39:36
CT02711,P0069262,2,2024-04-06 16:03:54
CT05394,P0327375,1,2024-04-10 10:47:06
CT01027,P0212464,2,2024-04-05 23:49:55
CT00279,P0284065,1,2024-04-12 03:09:00
CT02660,P0079396,1,2024-04-09 22:45:41
CT02120,P0197839,1,2024-04-10 01:50:57
CT04480,P0335681,2,2024-04-08 04:15:27
CT04093,P0272466,1,2024-04-02 21:52:27
CT02204,P0242017,1,2024-04-13 15:12:27
CT01124,P0218734,1,2024-04-14 19:15:49
CT00878,P0273727,1,2024-04-01 22:25:59
CT00925,P0099612,1,2024-04-10 04:13:55
CT01874,P0004618,2,2024-04-03 20:55:35
CT00548,P0112018,9,2024-04-05 02:02:36
CT04094,P0278279,2,2024-04-04 15:18:00
CT02475,P0159960,3,2024-04-14 07:52:28
CT05458,P0161467,3,2024-04-03 04:17:41
CT03398,P0089775,1,2024-04-10 03:47:42
CT00750,P0051796,1,2024-04-08 10:27:55
CT00681,P0014393,1,2024-04-01 20:07:59
CT03705,P0189948,1,2024-04-06 01:50:03
CT05546,P0160152,1,2024-04-08 00:29:01
CT00652,P0321941,1,2024-04-14 22:36:31
CT01090,P0256864,1,2024-04-11 21:49:04
CT01967,P0325657,1,2024-04-08 19:51:25
CT04920,P0036220,2,2024-04-11 05:10:09
CT01320,P0253377,1,2024-04-02 23:40:04
CT01698,P0102987,1,2024-04-05 05:36:02
CT01474,P0315860,5,2024-04-08 10:18:26
CT01751,P0281081,1,2024-04-05 01:02:30
CT01585,P0360368,1,2024-04-14 01:53:47
CT02162,P0188680,1,2024-04-09 18:44:39
CT02116,P0050646,2,2024-04-12 04:25:06
CT05696,P0383770,1,2024-04-13 04:00:35
CT05034,P0110043,1,2024-04-14 13:05:49
CT00056,P0172684,3,2024-04-13 11:09:40
CT06244,P0264911,1,2024-04-03 02:45:21
CT02554,P0138910,6,2024-04-13 14:02:45
CT03636,P0095684,1,2024-04-05 03:52:06
CT00804,P0088229,1,2024-04-11 05:31:33
CT06060,P0269051,1,2024-04-01 03:12:54
CT03176,P0330403,1,2024-04-11 05:03:29
CT05248,P0018577,1,2024-04-02 13:49:29
CT03399,P0130061,1,2024-04-04 05:19:47
CT01148,P0253856,1,2024-04-09 10:46:50
CT01174,P0048219,1,2024-04-07 13:52:51
CT06022,P0168124,1,2024-04-03 06:50:28
CT02176,P0306194,1,2024-04-06 17:34:12
CT03023,P0252774,1,2024-04-02 19:22:46
CT00076,P0119594,1,2024-04-08 15:48:30
CT01286,P0227468,1,2024-04-12 01:09:46
CT01668,P0067947,2,2024-04-11 11:20:49
CT03769,P0161666,1,2024-04-14 12:52:20
CT00268,P0256477,1,2024-04-07 19:38:16
CT02278,P0041409,1,2024-04-01 10:58:53
CT01432,P0000392,1,2024-04-04 07:40:26
CT02330,P0285146,2,2024-04-13 13:06:54
CT01026,P0326655,1,2024-04-11 07:52:11
CT00083,P0195045,1,2024-04-12 01:19:22
CT04885,P0168955,1,2024-04-10 13:30:43
CT04048,P0080631,1,2024-04-06 05:32:52
CT06307,P0130664,1,2024-04-05 14:23:40
CT04656,P0005507,1,2024-04-10 22:22:12
CT04012,P0057323,2,2024-04-11 14:17:05
CT01163,P0319425,1,2024-04-13 22:59:40
CT04595,P0082873,1,2024-04-07 19:40:45
CT02790,P0029463,2,2024-04-10 08:07:06
CT00041,P0325163,1,2024-04-04 02:43:31
CT00198,P0237378,6,2024-04-08 04:43:56
CT00788,P0125924,1,2024-04-06 07:07:45
CT01792,P0276345,2,2024-04-11 07:57:14
CT05692,P0316320,1,2024-04-08 00:31:22
CT04222,P0351475,2,2024-04-08 00:04:38
CT01365,P0007369,2,2024-04-01 19:23:08
CT02940,P0251597,2,2024-04-05 17:11:44
CT00488,P0323521,2,2024-04-12 17:34:58
CT01199,P0166843,1,2024-04-09 23:12:38
CT00798,P0251475,1,2024-04-10 05:09:49
CT05750,P0128166,1,2024-04-12 17:00:50
CT01777,P0384652,2,2024-04-05 19:48:38
CT00224,P0163186,2,2024-04-12 16:31:07
CT04070,P0244772,1,2024-04-03 15:42:08
CT04310,P0371229,2,2024-04-14 20:51:47
CT04958,P0295037,1,2024-04-09 20:14:54
CT05132,P0064485,2,2024-04-04 18:42:06
CT05144,P0096180,2,2024-04-14 22:53:45
CT06421,P0078004,1,2024-04-13 00:49:49
CT02896,P0296655,1,2024-04-11 17:08:46
CT01495,P0047973,3,2024-04-04 03:29:57
CT06187,P0339414,3,2024-04-05 20:05:19
CT00988,P0099509,1,2024-04-10 02:38:23
CT02332,P0218491,1,2024-04-07 19:55:34
CT01304,P0284912,2,2024-04-01 05:01:24
CT01194,P0203950,2,2024-04-14 17:49:59
CT03637,P0381003,1,2024-04-07 20:42:01
CT05058,P0190150,1,2024-04-02 15:32:25
CT00385,P0058855,1,2024-04-05 02:34:17
CT04069,P0101541,1,2024-04-13 00:13:48
CT04413,P0209955,9,2024-04-14 21:02:35
CT00819,P0076344,1,2024-04-03 10:51:01
CT00929,P0383968,1,2024-04-11 09:00:51
CT03840,P0362430,2,2024-04-12 13:31:15
CT06271,P0238363,1,2024-04-13 16:29:23
CT02942,P0172937,6,2024-04-08 18:46:44
CT01117,P0298609,8,2024-04-04 08:59:29
CT01168,P0193192,3,2024-04-10 16:28:27
CT01932,P0073864,1,2024-04-13 07:40:49
CT06093,P0032574,1,2024-04-05 14:37:35
CT00363,P0368030,2,2024-04-01 10:25:06
CT05380,P0342659,1,2024-04-04 11:34:44
CT01543,P0064366,1,2024-04-10 17:20:12
CT04001,P0064106,1,2024-04-08 03:23:52
CT04512,P0201102,1,2024-04-12 21:01:07
CT06232,P0327919,2,2024-04-04 04:30:14
CT05945,P0064682,1,2024-04-14 17:57:04
CT01514,P0310945,1,2024-04-07 04:10:49
CT01220,P0003860,1,2024-04-13 07:17:44
CT04797,P0327576,1,2024-04-13 02:44:01
CT03253,P0173848,2,2024-04-14 22:50:45
CT03423,P0251058,1,2024-04-06 10:25:56
CT03014,P0205145,3,2024-04-03 00:24:02
CT03409,P0115416,1,2024-04-03 05:48:56
CT01128,P0145119,1,2024-04-13 20:58:55
CT02944,P0348436,2,2024-04-06 06:52:16
CT00930,P0371916,1,2024-04-13 08:11:43
CT02918,P0378243,2,2024-04-08 02:56:52
CT06270,P0139693,1,2024-04-14 12:22:03
CT02907,P0067081,2,2024-04-11 19:18:01
CT01403,P0027224,2,2024-04-03 00:50:22
CT03501,P0177517,1,2024-04-12 11:12:23
CT05975,P0354018,2,2024-04-01 18:46:23
CT04175,P0208073,1,2024-04-10 11:31:14
CT02101,P0004939,1,2024-04-08 14:09:50
CT01466,P0131305,2,2024-04-05 06:51:18
CT06173,P0207793,1,2024-04-13 02:46:53
