moderation_id,admin_id,product_id,action_type,reason,action_time
PM0000001,A00118,P0202548,approve,,2024-03-19 15:21:43
PM0000002,A02038,P0140794,approve,,2024-03-24 10:37:06
PM0000003,A01743,P0023616,approve,,2024-03-22 08:24:34
PM0000004,A03963,P0305358,approve,,2024-03-29 15:08:27
PM0000005,A03801,P0263877,approve,,2024-03-15 01:28:56
PM0000006,A00464,P0124496,approve,,2024-03-23 00:41:33
PM0000007,A01429,P0177727,approve,,2024-03-13 07:06:37
PM0000008,A00614,P0192612,approve,,2024-03-24 15:46:20
PM0000009,A00869,P0086863,approve,,2024-03-27 14:23:30
PM0000010,A00854,P0138273,approve,,2024-03-25 12:25:09
PM0000011,A02134,P0286820,approve,,2024-03-20 20:25:25
PM0000012,A05295,P0199915,approve,,2024-03-22 04:25:13
PM0000013,A03204,P0018936,approve,,2024-03-17 19:47:11
PM0000014,A02783,P0148702,approve,,2024-03-12 09:56:09
PM0000015,A01086,P0219084,approve,,2024-03-21 07:05:44
PM0000016,A00474,P0256137,approve,,2024-03-26 11:57:59
PM0000017,A00076,P0030300,approve,,2024-03-11 23:42:47
PM0000018,A02489,P0205585,approve,,2024-03-16 09:23:17
PM0000019,A02666,P0230175,approve,,2024-03-21 13:15:14
PM0000020,A02095,P0216198,approve,,2024-03-12 23:11:09
PM0000021,A01139,P0198318,approve,,2024-03-26 00:44:26
PM0000022,A01506,P0010249,approve,,2024-03-25 11:10:51
PM0000023,A03673,P0050339,approve,,2024-03-15 07:53:09
PM0000024,A01809,P0060252,approve,,2024-03-27 22:17:21
PM0000025,A05113,P0294231,approve,,2024-03-15 14:56:40
PM0000026,A04786,P0318225,approve,,2024-03-11 13:24:19
PM0000027,A03778,P0329664,approve,,2024-03-28 11:57:51
PM0000028,A03828,P0371882,approve,,2024-03-23 19:33:12
PM0000029,A01808,P0119102,approve,,2024-03-16 03:43:48
PM0000030,A01775,P0297459,approve,,2024-03-16 04:53:58
PM0000031,A04350,P0013446,approve,,2024-03-14 14:11:20
PM0000032,A00774,P0270632,approve,,2024-03-12 09:19:26
PM0000033,A02566,P0025901,approve,,2024-03-12 19:54:47
PM0000034,A00637,P0014337,approve,,2024-03-31 10:26:08
PM0000035,A02902,P0059416,approve,,2024-03-17 22:33:50
PM0000036,A04991,P0378463,approve,,2024-03-27 02:47:53
PM0000037,A00056,P0050039,approve,,2024-03-16 02:27:24
PM0000038,A01615,P0244164,approve,,2024-03-14 04:12:35
PM0000039,A01179,P0293693,approve,,2024-03-27 18:32:07
PM0000040,A01728,P0085423,approve,,2024-03-14 19:49:12
PM0000041,A02302,P0013656,approve,,2024-03-27 04:46:20
PM0000042,A01226,P0205681,approve,,2024-03-19 21:03:40
PM0000043,A03734,P0046635,approve,,2024-03-18 20:27:55
PM0000044,A05264,P0083812,approve,,2024-03-11 12:49:05
PM0000045,A00854,P0315334,approve,,2024-03-21 02:44:32
PM0000046,A01775,P0258375,approve,,2024-03-23 19:24:22
PM0000047,A04564,P0036976,approve,,2024-03-29 13:57:12
PM0000048,A00180,P0377473,approve,,2024-03-30 21:41:22
PM0000049,A00151,P0085491,approve,,2024-03-18 12:42:58
PM0000050,A00042,P0200324,approve,,2024-03-18 22:24:15
PM0000051,A00136,P0354476,approve,,2024-03-12 13:52:36
PM0000052,A00004,P0252149,approve,,2024-03-31 07:47:43
PM0000053,A01172,P0022016,approve,,2024-03-30 20:56:10
PM0000054,A01268,P0090697,approve,,2024-03-12 05:52:22
PM0000055,A05025,P0200690,approve,,2024-03-18 13:49:58
PM0000056,A03612,P0324394,approve,,2024-03-30 01:14:28
PM0000057,A03798,P0337953,approve,,2024-03-31 20:56:04
PM0000058,A03272,P0313257,approve,,2024-03-31 04:44:40
PM0000059,A00793,P0214825,approve,,2024-03-30 00:41:40
PM0000060,A03860,P0380771,approve,,2024-03-12 10:26:37
PM0000061,A01524,P0263638,approve,,2024-03-28 13:26:58
PM0000062,A03977,P0061978,approve,,2024-03-31 10:05:16
PM0000063,A02552,P0262393,approve,,2024-03-13 21:11:21
PM0000064,A03480,P0024560,approve,,2024-03-26 09:34:09
PM0000065,A04855,P0003330,approve,,2024-03-26 18:37:24
PM0000066,A01712,P0199812,approve,,2024-03-18 10:31:22
PM0000067,A01932,P0045597,approve,,2024-03-13 20:30:33
PM0000068,A03604,P0000190,approve,,2024-03-25 17:23:28
PM0000069,A02658,P0182195,approve,,2024-03-25 22:40:32
PM0000070,A04450,P0081811,approve,,2024-03-17 21:16:22
PM0000071,A00014,P0158945,approve,,2024-03-26 23:56:54
PM0000072,A02284,P0112682,approve,,2024-03-14 07:33:16
PM0000073,A02857,P0139546,approve,,2024-03-23 06:40:20
PM0000074,A03716,P0182283,approve,,2024-03-22 01:27:58
PM0000075,A03992,P0323921,approve,,2024-03-28 15:07:54
PM0000076,A03139,P0112493,approve,,2024-03-12 12:58:19
PM0000077,A00327,P0112430,approve,,2024-03-29 21:01:23
PM0000078,A04524,P0253182,approve,,2024-03-27 09:58:07
PM0000079,A04876,P0335756,approve,,2024-03-18 00:14:20
PM0000080,A01737,P0018804,approve,,2024-03-18 20:26:20
PM0000081,A05080,P0322307,approve,,2024-03-12 08:39:31
PM0000082,A04972,P0205583,approve,,2024-03-24 06:39:06
PM0000083,A04064,P0032118,approve,,2024-03-11 22:19:18
PM0000084,A02476,P0000933,approve,,2024-03-24 20:54:16
PM0000085,A02747,P0022133,approve,,2024-03-25 22:11:14
PM0000086,A01995,P0170232,approve,,2024-03-20 12:21:28
PM0000087,A00422,P0094808,approve,,2024-03-28 17:26:36
PM0000088,A00696,P0060167,approve,,2024-03-11 04:02:40
