refund_id,purchase_id,refund_reason,refund_amount,refund_status,refund_money,last_update
RF0000001,PR0000018,Product quality issues,1,pending,17.93,2024-06-29 18:13:20
RF0000002,PR0000020,7-day no-reason return (primary option),1,pending,7.17,2024-06-23 03:44:23
RF0000003,PR0000048,7-day no-reason return (primary option),1,pending,114.37,2024-06-22 13:28:00
RF0000004,PR0000071,7-day no-reason return (primary option),1,pending,2.17,2024-06-18 13:00:29
RF0000005,PR0000025,Item not as described,3,pending,143.67,2024-06-26 07:01:19
RF0000006,PR0000074,7-day no-reason return (primary option),1,pending,19.15,2024-06-20 01:09:40
RF0000007,PR0000089,Wrong/incorrect order fulfillment,2,pending,7.16,2024-06-20 20:09:39
RF0000008,PR0000093,Logistics / Unboxing issues,1,pending,17.95,2024-06-20 10:48:18
RF0000009,PR0000001,Item not as described,1,pending,7.17,2024-06-18 06:26:25
RF0000010,PR0000042,Wrong/incorrect order fulfillment,1,pending,8.97,2024-06-29 15:37:28
RF0000011,PR0000057,7-day no-reason return (primary option),1,pending,65.86,2024-06-30 22:34:09
RF0000012,PR0000059,Logistics / Unboxing issues,2,pending,143.68,2024-06-18 00:37:40
RF0000013,PR0000009,Logistics / Unboxing issues,1,pending,15.56,2024-06-18 06:12:14
RF0000014,PR0000034,7-day no-reason return (primary option),1,pending,14.36,2024-06-27 22:30:43
RF0000015,PR0000032,7-day no-reason return (primary option),2,pending,16.74,2024-06-17 11:41:52
RF0000016,PR0000030,Wrong/incorrect order fulfillment,1,pending,10.78,2024-06-27 21:28:17
RF0000017,PR0000123,7-day no-reason return (primary option),1,pending,23.89,2024-06-17 20:33:31
RF0000018,PR0000103,Product quality issues,1,pending,70.38,2024-06-24 14:04:07
RF0000019,PR0000109,Other personal reasons,1,pending,14.36,2024-06-25 04:18:27
RF0000020,PR0000077,Item not as described,1,pending,7.17,2024-06-23 09:27:32
RF0000021,PR0000044,7-day no-reason return (primary option),1,pending,9.57,2024-06-27 18:42:38
RF0000022,PR0000015,7-day no-reason return (primary option),1,pending,29.76,2024-06-18 10:03:28
RF0000023,PR0000013,7-day no-reason return (primary option),1,pending,11.96,2024-06-25 03:39:42
RF0000024,PR0000031,Wrong/incorrect order fulfillment,1,pending,10.77,2024-06-19 03:04:06
RF0000025,PR0000049,Product quality issues,1,pending,11.96,2024-06-28 14:50:38
RF0000026,PR0000133,7-day no-reason return (primary option),3,pending,107.76,2024-06-25 03:28:20
RF0000027,PR0000108,Product quality issues,1,pending,5.38,2024-06-17 18:52:11
RF0000028,PR0000016,7-day no-reason return (primary option),2,pending,35.86,2024-06-18 16:27:16
RF0000029,PR0000058,Item not as described,1,pending,314.63,2024-06-19 03:21:41
RF0000030,PR0000052,Logistics / Unboxing issues,1,pending,71.84,2024-06-16 15:16:01
RF0000031,PR0000151,Product quality issues,1,pending,23.94,2024-06-26 18:41:10
