moderation_id,admin_id,review_id,purchase_id,action_type,action_time
RM0000001,A00554,RV0000001,PR0000056,approve,2024-06-06 22:10:37
RM0000002,A05351,RV0000007,PR0000052,approve,2024-06-05 18:00:19
RM0000003,A01518,RV0000011,PR0000026,approve,2024-06-06 04:05:33
RM0000004,A04638,RV0000008,PR0000006,approve,2024-06-08 00:38:47
RM0000005,A02548,RV0000005,PR0000088,approve,2024-06-10 08:53:51
RM0000006,A02068,RV0000002,PR0000011,approve,2024-06-06 01:00:30
RM0000007,A01545,RV0000012,PR0000061,approve,2024-06-14 17:00:23
RM0000008,A00810,RV0000006,PR0000004,approve,2024-06-13 23:52:55
RM0000009,A00358,RV0000003,PR0000044,approve,2024-06-04 09:21:29
RM0000010,A02621,RV0000021,PR0000118,approve,2024-06-01 00:31:45
RM0000011,A04715,RV0000014,PR0000060,approve,2024-06-02 20:07:42
RM0000012,A05488,RV0000004,PR0000018,approve,2024-06-05 08:48:48
RM0000013,A00980,RV0000018,PR0000077,approve,2024-06-13 23:15:32
RM0000014,A00662,RV0000013,PR0000046,approve,2024-06-09 15:19:38
RM0000015,A02264,RV0000010,PR0000008,approve,2024-06-01 05:14:56
RM0000016,A03518,RV0000009,PR0000025,approve,2024-06-03 00:42:42
RM0000017,A02600,RV0000015,PR0000094,approve,2024-06-04 14:13:14
RM0000018,A03874,RV0000016,PR0000117,approve,2024-06-14 13:00:33
RM0000019,A05197,RV0000019,PR0000039,approve,2024-06-12 10:12:05
RM0000020,A02306,RV0000017,PR0000023,approve,2024-06-09 01:11:41
RM0000021,A02938,RV0000022,PR0000097,approve,2024-06-05 13:36:27
RM0000022,A01673,RV0000031,PR0000013,approve,2024-06-15 09:05:12
RM0000023,A00349,RV0000020,PR0000126,approve,2024-06-14 03:48:43
RM0000024,A01021,RV0000023,PR0000104,approve,2024-06-13 11:03:39
RM0000025,A01853,RV0000027,PR0000098,approve,2024-06-05 17:23:14
RM0000026,A01901,RV0000029,PR0000066,approve,2024-06-06 15:57:34
RM0000027,A03773,RV0000033,PR0000001,approve,2024-06-09 20:05:36
RM0000028,A01073,RV0000034,PR0000099,approve,2024-06-07 23:57:05
RM0000029,A00613,RV0000024,PR0000024,approve,2024-06-07 04:17:20
RM0000030,A00796,RV0000026,PR0000110,approve,2024-06-12 04:10:45
RM0000031,A04316,RV0000028,PR0000090,approve,2024-06-12 18:19:25
RM0000032,A04527,RV0000032,PR0000041,approve,2024-06-05 05:17:11
RM0000033,A02018,RV0000025,PR0000051,approve,2024-06-06 23:11:41
RM0000034,A05466,RV0000035,PR0000014,approve,2024-06-02 13:52:28
RM0000035,A03761,RV0000039,PR0000068,approve,2024-06-06 12:13:04
RM0000036,A02158,RV0000030,PR0000032,approve,2024-06-02 11:35:53
RM0000037,A02179,RV0000036,PR0000115,approve,2024-06-08 17:38:10
RM0000038,A01712,RV0000037,PR0000015,approve,2024-06-04 16:44:58
RM0000039,A04491,RV0000038,PR0000162,approve,2024-06-09 18:43:20
RM0000040,A03751,RV0000043,PR0000119,approve,2024-06-15 00:06:38
RM0000041,A00697,RV0000040,PR0000156,approve,2024-06-07 06:20:12
RM0000042,A01439,RV0000041,PR0000157,approve,2024-06-15 04:15:30
RM0000043,A01982,RV0000047,PR0000105,approve,2024-06-03 09:10:34
RM0000044,A04038,RV0000042,PR0000178,approve,2024-06-12 05:39:44
RM0000045,A01381,RV0000050,PR0000166,approve,2024-06-12 11:15:37
RM0000046,A00179,RV0000044,PR0000167,approve,2024-06-04 09:24:30
RM0000047,A00082,RV0000048,PR0000096,approve,2024-06-10 16:21:24
RM0000048,A00625,RV0000045,PR0000034,approve,2024-06-10 01:19:30
RM0000049,A03416,RV0000046,PR0000047,approve,2024-06-12 05:31:16
RM0000050,A00196,RV0000049,PR0000171,approve,2024-06-07 01:20:14
RM0000051,A04492,RV0000053,PR0000128,approve,2024-06-05 23:49:40
RM0000052,A02719,RV0000051,PR0000216,approve,2024-06-05 07:11:23
RM0000053,A03959,RV0000062,PR0000111,approve,2024-06-11 14:25:40
RM0000054,A03685,RV0000052,PR0000159,approve,2024-06-07 12:58:39
RM0000055,A01820,RV0000064,PR0000208,approve,2024-06-11 18:29:22
RM0000056,A01396,RV0000059,PR0000038,approve,2024-06-09 13:55:57
RM0000057,A02155,RV0000063,PR0000031,approve,2024-06-09 07:41:52
RM0000058,A01039,RV0000067,PR0000238,approve,2024-06-06 12:19:46
RM0000059,A05137,RV0000061,PR0000067,approve,2024-06-02 14:30:40
RM0000060,A00054,RV0000055,PR0000232,approve,2024-06-09 03:17:11
RM0000061,A03021,RV0000054,PR0000135,approve,2024-06-12 12:42:57
RM0000062,A04758,RV0000057,PR0000183,approve,2024-06-08 13:24:00
RM0000063,A03653,RV0000056,PR0000147,approve,2024-06-04 16:58:26
RM0000064,A03653,RV0000068,PR0000205,approve,2024-06-15 06:05:05
RM0000065,A01549,RV0000070,PR0000201,approve,2024-06-15 18:40:38
RM0000066,A01650,RV0000065,PR0000037,approve,2024-06-09 04:00:03
RM0000067,A02218,RV0000074,PR0000009,approve,2024-06-11 21:45:59
RM0000068,A00193,RV0000060,PR0000160,approve,2024-06-13 16:36:41
RM0000069,A00141,RV0000069,PR0000224,approve,2024-06-04 16:34:09
RM0000070,A03788,RV0000066,PR0000043,approve,2024-06-07 10:35:29
RM0000071,A03838,RV0000058,PR0000194,approve,2024-06-06 08:54:15
RM0000072,A02476,RV0000073,PR0000249,approve,2024-06-09 19:42:48
RM0000073,A05038,RV0000072,PR0000101,approve,2024-06-04 08:22:39
RM0000074,A02065,RV0000080,PR0000030,approve,2024-06-09 20:40:10
RM0000075,A00509,RV0000075,PR0000139,approve,2024-06-14 07:42:27
RM0000076,A00434,RV0000071,PR0000021,approve,2024-06-13 10:05:51
RM0000077,A04316,RV0000078,PR0000155,approve,2024-06-12 06:44:41
RM0000078,A05387,RV0000084,PR0000191,approve,2024-06-14 10:18:05
RM0000079,A02303,RV0000082,PR0000112,approve,2024-06-08 21:32:30
RM0000080,A01605,RV0000076,PR0000197,approve,2024-06-10 02:47:21
RM0000081,A05444,RV0000077,PR0000235,approve,2024-06-06 03:46:27
RM0000082,A03675,RV0000090,PR0000296,approve,2024-06-01 19:17:07
RM0000083,A00845,RV0000083,PR0000227,approve,2024-06-04 15:55:49
RM0000084,A02042,RV0000093,PR0000253,approve,2024-06-11 19:38:23
RM0000085,A04617,RV0000097,PR0000252,approve,2024-06-05 00:56:46
RM0000086,A00986,RV0000096,PR0000084,approve,2024-06-02 12:07:17
RM0000087,A01124,RV0000079,PR0000239,approve,2024-06-13 07:34:21
RM0000088,A03731,RV0000104,PR0000069,approve,2024-06-13 02:45:02
RM0000089,A04461,RV0000102,PR0000236,approve,2024-06-12 02:00:04
RM0000090,A03062,RV0000087,PR0000091,approve,2024-06-14 18:03:11
RM0000091,A01305,RV0000088,PR0000202,approve,2024-06-06 22:15:21
RM0000092,A03237,RV0000081,PR0000203,approve,2024-06-10 18:03:31
RM0000093,A04888,RV0000107,PR0000182,approve,2024-06-05 01:48:48
RM0000094,A03071,RV0000098,PR0000093,approve,2024-06-05 06:54:29
RM0000095,A03463,RV0000095,PR0000005,approve,2024-06-09 05:14:31
RM0000096,A03735,RV0000103,PR0000163,approve,2024-06-07 19:31:56
RM0000097,A04886,RV0000110,PR0000151,approve,2024-06-13 21:03:54
RM0000098,A05098,RV0000086,PR0000261,approve,2024-06-06 08:30:25
RM0000099,A03177,RV0000105,PR0000016,approve,2024-06-12 03:14:59
RM0000100,A02723,RV0000109,PR0000153,approve,2024-06-10 00:24:15
RM0000101,A02699,RV0000114,PR0000085,approve,2024-06-02 16:53:05
RM0000102,A04227,RV0000099,PR0000289,approve,2024-06-05 12:18:33
RM0000103,A03465,RV0000108,PR0000012,approve,2024-06-10 10:11:38
RM0000104,A03109,RV0000085,PR0000237,approve,2024-06-11 16:59:23
RM0000105,A00476,RV0000091,PR0000295,approve,2024-06-04 04:55:45
RM0000106,A04175,RV0000112,PR0000270,approve,2024-06-03 06:00:16
RM0000107,A04319,RV0000089,PR0000174,approve,2024-06-03 05:01:02
RM0000108,A00408,RV0000094,PR0000211,approve,2024-06-02 07:26:26
RM0000109,A01542,RV0000092,PR0000033,approve,2024-06-09 13:31:31
RM0000110,A01313,RV0000106,PR0000276,approve,2024-06-01 15:48:19
RM0000111,A00076,RV0000100,PR0000108,approve,2024-06-01 23:16:51
RM0000112,A00234,RV0000111,PR0000122,approve,2024-06-05 10:46:59
RM0000113,A03343,RV0000126,PR0000055,approve,2024-06-03 22:35:04
RM0000114,A01533,RV0000115,PR0000185,approve,2024-06-07 00:55:27
RM0000115,A04545,RV0000101,PR0000144,approve,2024-06-13 05:48:33
RM0000116,A01531,RV0000124,PR0000315,approve,2024-06-05 13:06:57
RM0000117,A03929,RV0000128,PR0000120,approve,2024-06-03 23:46:46
RM0000118,A04551,RV0000118,PR0000102,approve,2024-06-13 15:08:25
RM0000119,A01681,RV0000132,PR0000154,approve,2024-06-09 01:17:07
RM0000120,A02799,RV0000134,PR0000294,approve,2024-06-01 14:18:41
RM0000121,A00580,RV0000141,PR0000179,approve,2024-06-06 03:22:40
RM0000122,A03188,RV0000116,PR0000325,approve,2024-06-02 05:37:24
RM0000123,A02956,RV0000117,PR0000036,approve,2024-06-07 12:31:28
RM0000124,A01919,RV0000129,PR0000138,approve,2024-06-11 11:30:39
RM0000125,A02619,RV0000113,PR0000230,approve,2024-06-10 15:25:25
RM0000126,A00900,RV0000120,PR0000275,approve,2024-06-01 13:54:15
RM0000127,A04074,RV0000143,PR0000121,approve,2024-06-04 11:07:34
RM0000128,A01673,RV0000123,PR0000306,approve,2024-06-08 05:52:32
RM0000129,A00682,RV0000135,PR0000367,approve,2024-06-07 23:08:59
RM0000130,A04285,RV0000130,PR0000059,approve,2024-06-09 10:08:52
RM0000131,A01617,RV0000122,PR0000297,approve,2024-06-15 11:44:23
RM0000132,A02914,RV0000119,PR0000158,approve,2024-06-06 21:55:38
RM0000133,A02978,RV0000127,PR0000321,approve,2024-06-01 02:12:44
RM0000134,A04818,RV0000121,PR0000140,approve,2024-06-11 15:19:18
RM0000135,A01556,RV0000139,PR0000340,approve,2024-06-03 22:26:42
RM0000136,A03739,RV0000131,PR0000103,approve,2024-06-11 02:10:04
RM0000137,A02051,RV0000136,PR0000081,approve,2024-06-14 15:57:49
RM0000138,A04637,RV0000125,PR0000057,approve,2024-06-15 03:01:31
RM0000139,A04938,RV0000147,PR0000222,approve,2024-06-04 19:01:42
RM0000140,A01759,RV0000138,PR0000181,approve,2024-06-08 00:39:46
RM0000141,A00434,RV0000137,PR0000217,approve,2024-06-11 04:44:25
RM0000142,A01313,RV0000149,PR0000303,approve,2024-06-03 19:22:18
