action_id,refund_id,actor_customer_id,actor_seller_id,actor_admin_id,action_type,action_time
RA0000001,RF0000001,C01636,,,submit,2024-06-29 18:13:20
RA0000002,RF0000002,C02262,,,submit,2024-06-23 03:44:23
RA0000003,RF0000003,C02260,,,submit,2024-06-22 13:28:00
RA0000004,RF0000004,C02734,,,submit,2024-06-18 13:00:29
RA0000005,RF0000005,C01366,,,submit,2024-06-26 07:01:19
RA0000006,RF0000006,C05388,,,submit,2024-06-20 01:09:40
RA0000007,RF0000007,C01756,,,submit,2024-06-20 20:09:39
RA0000008,RF0000008,C01304,,,submit,2024-06-20 10:48:18
RA0000009,RF0000009,C00848,,,submit,2024-06-18 06:26:25
RA0000010,RF0000010,C03119,,,submit,2024-06-29 15:37:28
RA0000011,RF0000011,C01563,,,submit,2024-06-30 22:34:09
RA0000012,RF0000012,C00166,,,submit,2024-06-18 00:37:40
RA0000013,RF0000013,C06106,,,submit,2024-06-18 06:12:14
RA0000014,RF0000014,C01224,,,submit,2024-06-27 22:30:43
RA0000015,RF0000015,C05073,,,submit,2024-06-17 11:41:52
RA0000016,RF0000016,C04678,,,submit,2024-06-27 21:28:17
RA0000017,RF0000017,C05981,,,submit,2024-06-17 20:33:31
RA0000018,RF0000018,C04572,,,submit,2024-06-24 14:04:07
RA0000019,RF0000019,C02966,,,submit,2024-06-25 04:18:27
RA0000020,RF0000020,C04015,,,submit,2024-06-23 09:27:32
RA0000021,RF0000021,C03516,,,submit,2024-06-27 18:42:38
RA0000022,RF0000022,C02372,,,submit,2024-06-18 10:03:28
RA0000023,RF0000023,C00106,,,submit,2024-06-25 03:39:42
RA0000024,RF0000024,C05599,,,submit,2024-06-19 03:04:06
RA0000025,RF0000025,C04687,,,submit,2024-06-28 14:50:38
RA0000026,RF0000026,C02361,,,submit,2024-06-25 03:28:20
RA0000027,RF0000027,C06367,,,submit,2024-06-17 18:52:11
RA0000028,RF0000028,C03977,,,submit,2024-06-18 16:27:16
RA0000029,RF0000029,C00240,,,submit,2024-06-19 03:21:41
RA0000030,RF0000030,C03935,,,submit,2024-06-16 15:16:01
RA0000031,RF0000031,C06302,,,submit,2024-06-26 18:41:10
RA0000032,RF0000032,C05433,,,submit,2024-06-22 04:14:04
RA0000033,RF0000033,C04684,,,submit,2024-06-28 05:26:36
RA0000034,RF0000034,C01013,,,submit,2024-06-19 14:12:32
RA0000035,RF0000035,C02751,,,submit,2024-06-19 00:56:05
RA0000036,RF0000036,C01211,,,submit,2024-06-30 01:06:36
RA0000037,RF0000037,C04345,,,submit,2024-06-16 23:18:47
RA0000038,RF0000038,C03169,,,submit,2024-06-27 13:06:53
RA0000039,RF0000039,C04624,,,submit,2024-06-24 09:59:18
RA0000040,RF0000040,C00860,,,submit,2024-06-17 22:44:01
RA0000041,RF0000041,C02615,,,submit,2024-06-30 19:26:41
RA0000042,RF0000042,C00493,,,submit,2024-06-27 17:40:38
RA0000043,RF0000043,C05144,,,submit,2024-06-23 06:58:56
RA0000044,RF0000044,C03328,,,submit,2024-06-24 18:41:51
RA0000045,RF0000045,C03192,,,submit,2024-06-27 11:36:40
RA0000046,RF0000046,C02026,,,submit,2024-06-27 00:28:46
RA0000047,RF0000047,C00078,,,submit,2024-06-24 09:55:18
RA0000048,RF0000048,C03309,,,submit,2024-06-28 14:36:38
RA0000049,RF0000049,C05458,,,submit,2024-06-25 04:13:16
RA0000050,RF0000050,C01800,,,submit,2024-06-21 03:43:56
RA0000051,RF0000051,C00694,,,submit,2024-06-19 15:18:37
RA0000052,RF0000052,C05352,,,submit,2024-06-30 02:59:15
RA0000053,RF0000053,C04295,,,submit,2024-06-25 05:32:45
RA0000054,RF0000054,C04361,,,submit,2024-06-30 10:24:56
RA0000055,RF0000055,C05139,,,submit,2024-06-30 18:23:26
RA0000056,RF0000056,C04691,,,submit,2024-06-26 09:05:16
RA0000057,RF0000057,C01616,,,submit,2024-06-23 10:31:00
RA0000058,RF0000058,C02376,,,submit,2024-06-24 05:21:22
RA0000059,RF0000059,C05219,,,submit,2024-06-27 05:46:54
RA0000060,RF0000060,C04180,,,submit,2024-06-19 00:41:05
RA0000061,RF0000061,C05003,,,submit,2024-06-28 23:00:52
RA0000062,RF0000062,C02766,,,submit,2024-06-20 22:54:12
RA0000063,RF0000063,C04721,,,submit,2024-06-17 10:36:52
RA0000064,RF0000064,C02037,,,submit,2024-06-20 05:41:17
RA0000065,RF0000065,C05447,,,submit,2024-06-24 14:02:37
RA0000066,RF0000066,C00760,,,submit,2024-06-30 18:35:41
RA0000067,RF0000067,C03518,,,submit,2024-06-30 13:48:36
RA0000068,RF0000068,C02319,,,submit,2024-06-18 10:03:20
RA0000069,RF0000069,C01795,,,submit,2024-06-30 02:27:45
RA0000070,RF0000070,C04912,,,submit,2024-06-25 22:33:14
RA0000071,RF0000071,C06332,,,submit,2024-06-30 01:31:45
RA0000072,RF0000072,C02573,,,submit,2024-06-24 00:58:53
RA0000073,RF0000073,C01581,,,submit,2024-06-28 19:16:02
RA0000074,RF0000074,C02609,,,submit,2024-06-23 01:22:56
RA0000075,RF0000075,C05116,,,submit,2024-06-18 00:48:29
RA0000076,RF0000076,C02581,,,submit,2024-06-25 00:11:12
RA0000077,RF0000077,C02250,,,submit,2024-06-28 20:22:58
RA0000078,RF0000078,C04202,,,submit,2024-06-30 07:42:24
RA0000079,RF0000079,C05240,,,submit,2024-06-30 18:08:56
RA0000080,RF0000080,C01651,,,submit,2024-06-16 11:12:16
RA0000081,RF0000081,C06350,,,submit,2024-06-28 14:02:11
RA0000082,RF0000082,C06081,,,submit,2024-06-23 20:11:38
RA0000083,RF0000083,C05370,,,submit,2024-06-16 21:14:00
RA0000084,RF0000084,C01906,,,submit,2024-06-16 00:29:06
RA0000085,RF0000085,C02866,,,submit,2024-06-25 14:23:53
RA0000086,RF0000086,C00945,,,submit,2024-06-21 09:10:06
RA0000087,RF0000087,C05703,,,submit,2024-06-26 20:11:10
RA0000088,RF0000088,C01479,,,submit,2024-06-29 06:49:47
RA0000089,RF0000089,C00917,,,submit,2024-06-22 18:40:01
RA0000090,RF0000090,C05411,,,submit,2024-06-27 21:28:08
RA0000091,RF0000091,C02661,,,submit,2024-06-16 09:34:48
RA0000092,RF0000092,C03660,,,submit,2024-06-21 21:47:01
RA0000093,RF0000093,C02475,,,submit,2024-06-21 07:42:06
RA0000094,RF0000094,C03177,,,submit,2024-06-23 06:25:20
RA0000095,RF0000095,C02581,,,submit,2024-06-22 11:24:57
RA0000096,RF0000096,C05168,,,submit,2024-06-25 01:27:28
RA0000097,RF0000097,C00194,,,submit,2024-06-29 08:22:00
RA0000098,RF0000098,C03199,,,submit,2024-06-20 17:52:04
RA0000099,RF0000099,C02604,,,submit,2024-06-28 05:05:02
RA0000100,RF0000100,C01977,,,submit,2024-06-20 08:49:21
RA0000101,RF0000101,C06452,,,submit,2024-06-29 03:40:49
RA0000102,RF0000102,C05648,,,submit,2024-06-29 09:09:27
RA0000103,RF0000103,C00910,,,submit,2024-06-24 13:45:28
RA0000104,RF0000104,C03184,,,submit,2024-06-20 10:47:40
RA0000105,RF0000105,C03602,,,submit,2024-06-23 12:52:47
RA0000106,RF0000106,C00224,,,submit,2024-06-16 22:47:47
RA0000107,RF0000107,C04527,,,submit,2024-06-29 03:15:18
RA0000108,RF0000108,C02935,,,submit,2024-06-20 21:21:32
RA0000109,RF0000109,C00219,,,submit,2024-06-22 21:40:06
RA0000110,RF0000110,C06292,,,submit,2024-06-16 23:32:36
RA0000111,RF0000111,C03966,,,submit,2024-06-22 13:46:26
RA0000112,RF0000112,C00587,,,submit,2024-06-24 07:55:32
RA0000113,RF0000113,C04246,,,submit,2024-06-22 23:39:14
RA0000114,RF0000114,C00238,,,submit,2024-06-21 18:26:16
